,question_len,total_question_len
object_tracking_1_true_false_answer_question_1,12669.0,
object_tracking_1_true_false_answer_question_2,14622.0,
object_tracking_5_true_false_answer_question_1,14497.0,
object_tracking_5_true_false_answer_question_2,16357.0,
object_tracking_10_true_false_answer_question_1,16932.0,
object_tracking_10_true_false_answer_question_2,18979.0,
object_tracking_15_true_false_answer_question_1,19391.0,
object_tracking_15_true_false_answer_question_2,21350.0,
object_tracking_19_true_false_answer_question_1,21397.0,
object_tracking_19_true_false_answer_question_2,22679.0,
fluent_tracking_1_true_false_answer_question_1,12415.0,
fluent_tracking_1_true_false_answer_question_2,12431.0,
fluent_tracking_1_true_false_answer_question_3,20575.0,
fluent_tracking_1_true_false_answer_question_4,63190.0,
fluent_tracking_1_free_answer_question_5,13334.0,
fluent_tracking_1_free_answer_question_6,15563.0,
fluent_tracking_5_true_false_answer_question_1,14354.0,
fluent_tracking_5_true_false_answer_question_2,14382.0,
fluent_tracking_5_true_false_answer_question_3,22093.0,
fluent_tracking_5_true_false_answer_question_4,65491.0,
fluent_tracking_5_free_answer_question_5,15201.0,
fluent_tracking_5_free_answer_question_6,19151.0,
fluent_tracking_10_true_false_answer_question_1,16786.0,
fluent_tracking_10_true_false_answer_question_2,16831.0,
fluent_tracking_10_true_false_answer_question_3,24464.0,
fluent_tracking_10_true_false_answer_question_4,68045.0,
fluent_tracking_10_free_answer_question_5,17604.0,
fluent_tracking_10_free_answer_question_6,20195.0,
fluent_tracking_15_true_false_answer_question_1,19310.0,
fluent_tracking_15_true_false_answer_question_2,19356.0,
fluent_tracking_15_true_false_answer_question_3,26930.0,
fluent_tracking_15_true_false_answer_question_4,70759.0,
fluent_tracking_15_free_answer_question_5,20211.0,
fluent_tracking_15_free_answer_question_6,23917.0,
fluent_tracking_19_true_false_answer_question_1,21299.0,
fluent_tracking_19_true_false_answer_question_2,21343.0,
fluent_tracking_19_true_false_answer_question_3,29195.0,
fluent_tracking_19_true_false_answer_question_4,72439.0,
fluent_tracking_19_free_answer_question_5,22207.0,
fluent_tracking_19_free_answer_question_6,25389.0,
state_tracking_1_true_false_answer_question_1,20684.0,
state_tracking_1_true_false_answer_question_2,63373.0,
state_tracking_1_free_answer_question_3,19630.0,
state_tracking_1_free_answer_question_4,58821.0,
state_tracking_5_true_false_answer_question_1,22206.0,
state_tracking_5_true_false_answer_question_2,65694.0,
state_tracking_5_free_answer_question_3,21290.0,
state_tracking_5_free_answer_question_4,61095.0,
state_tracking_10_true_false_answer_question_1,24637.0,
state_tracking_10_true_false_answer_question_2,68209.0,
state_tracking_10_free_answer_question_3,23733.0,
state_tracking_10_free_answer_question_4,63558.0,
state_tracking_15_true_false_answer_question_1,27030.0,
state_tracking_15_true_false_answer_question_2,70742.0,
state_tracking_15_free_answer_question_3,26202.0,
state_tracking_15_free_answer_question_4,66131.0,
state_tracking_19_true_false_answer_question_1,29173.0,
state_tracking_19_true_false_answer_question_2,72575.0,
state_tracking_19_free_answer_question_3,28308.0,
state_tracking_19_free_answer_question_4,67975.0,
action_executability_1_true_false_answer_question_1,12111.0,
action_executability_1_true_false_answer_question_2,12890.0,
action_executability_1_free_answer_question_3,19900.0,
action_executability_1_free_answer_question_4,1892126.0,
action_executability_1_free_answer_question_5,12828.0,
action_executability_5_true_false_answer_question_1,14054.0,
action_executability_5_true_false_answer_question_2,14796.0,
action_executability_5_free_answer_question_3,22417.0,
action_executability_5_free_answer_question_4,1893483.0,
action_executability_5_free_answer_question_5,14760.0,
action_executability_10_true_false_answer_question_1,16472.0,
action_executability_10_true_false_answer_question_2,17306.0,
action_executability_10_free_answer_question_3,25082.0,
action_executability_10_free_answer_question_4,1895716.0,
action_executability_10_free_answer_question_5,17291.0,
action_executability_15_true_false_answer_question_1,18989.0,
action_executability_15_true_false_answer_question_2,19748.0,
action_executability_15_free_answer_question_3,27432.0,
action_executability_15_free_answer_question_4,1898408.0,
action_executability_15_free_answer_question_5,19860.0,
action_executability_19_true_false_answer_question_1,20978.0,
action_executability_19_true_false_answer_question_2,21741.0,
action_executability_19_free_answer_question_3,29468.0,
action_executability_19_free_answer_question_4,1900346.0,
action_executability_19_free_answer_question_5,21667.0,
