,question_len,answer_len
object_tracking_1_true_false_answer_question_1,3347,5
object_tracking_1_true_false_answer_question_2,4134,5
object_tracking_5_true_false_answer_question_1,3451,5
object_tracking_5_true_false_answer_question_2,3827,5
object_tracking_10_true_false_answer_question_1,3731,5
object_tracking_10_true_false_answer_question_2,4377,4
object_tracking_15_true_false_answer_question_1,3964,5
object_tracking_15_true_false_answer_question_2,4431,5
object_tracking_19_true_false_answer_question_1,4202,5
object_tracking_19_true_false_answer_question_2,4390,5
fluent_tracking_1_true_false_answer_question_1,3167,5
fluent_tracking_1_true_false_answer_question_2,3178,4
fluent_tracking_1_true_false_answer_question_3,4279,5
fluent_tracking_1_true_false_answer_question_4,11991,5
fluent_tracking_1_free_answer_question_5,3193,271
fluent_tracking_1_free_answer_question_6,3219,1087
fluent_tracking_5_true_false_answer_question_1,3382,5
fluent_tracking_5_true_false_answer_question_2,3390,5
fluent_tracking_5_true_false_answer_question_3,4497,5
fluent_tracking_5_true_false_answer_question_4,12183,5
fluent_tracking_5_free_answer_question_5,3408,117
fluent_tracking_5_free_answer_question_6,3431,1087
fluent_tracking_10_true_false_answer_question_1,3697,5
fluent_tracking_10_true_false_answer_question_2,3694,4
fluent_tracking_10_true_false_answer_question_3,4850,5
fluent_tracking_10_true_false_answer_question_4,12341,5
fluent_tracking_10_free_answer_question_5,3721,151
fluent_tracking_10_free_answer_question_6,3746,877
fluent_tracking_15_true_false_answer_question_1,3964,5
fluent_tracking_15_true_false_answer_question_2,3973,5
fluent_tracking_15_true_false_answer_question_3,5269,5
fluent_tracking_15_true_false_answer_question_4,12511,5
fluent_tracking_15_free_answer_question_5,3983,72
fluent_tracking_15_free_answer_question_6,4014,890
fluent_tracking_19_true_false_answer_question_1,4168,5
fluent_tracking_19_true_false_answer_question_2,4175,5
fluent_tracking_19_true_false_answer_question_3,5503,5
fluent_tracking_19_true_false_answer_question_4,12640,5
fluent_tracking_19_free_answer_question_5,4195,65
fluent_tracking_19_free_answer_question_6,4223,793
state_tracking_1_true_false_answer_question_1,4219,5
state_tracking_1_true_false_answer_question_2,12001,5
state_tracking_1_free_answer_question_3,3168,951
state_tracking_1_free_answer_question_4,3191,8827
state_tracking_5_true_false_answer_question_1,4469,5
state_tracking_5_true_false_answer_question_2,12193,5
state_tracking_5_free_answer_question_3,3380,973
state_tracking_5_free_answer_question_4,3403,8807
state_tracking_10_true_false_answer_question_1,4955,5
state_tracking_10_true_false_answer_question_2,12351,5
state_tracking_10_free_answer_question_3,3695,1100
state_tracking_10_free_answer_question_4,3718,8650
state_tracking_15_true_false_answer_question_1,5220,5
state_tracking_15_true_false_answer_question_2,12519,5
state_tracking_15_free_answer_question_3,3963,1180
state_tracking_15_free_answer_question_4,3986,8550
state_tracking_19_true_false_answer_question_1,5560,5
state_tracking_19_true_false_answer_question_2,12650,5
state_tracking_19_free_answer_question_3,4172,1244
state_tracking_19_free_answer_question_4,4195,8472
action_executability_1_true_false_answer_question_1,3115,5
action_executability_1_true_false_answer_question_2,3233,5
action_executability_1_free_answer_question_3,3157,1894
action_executability_1_free_answer_question_4,3159,77196
action_executability_1_free_answer_question_5,3201,73
action_executability_5_true_false_answer_question_1,3360,5
action_executability_5_true_false_answer_question_2,3414,4
action_executability_5_free_answer_question_3,3369,2030
action_executability_5_free_answer_question_4,3371,77060
action_executability_5_free_answer_question_5,3416,76
action_executability_10_true_false_answer_question_1,3642,5
action_executability_10_true_false_answer_question_2,3741,4
action_executability_10_free_answer_question_3,3684,1954
action_executability_10_free_answer_question_4,3686,77136
action_executability_10_free_answer_question_5,3703,48
action_executability_15_true_false_answer_question_1,3910,5
action_executability_15_true_false_answer_question_2,3993,5
action_executability_15_free_answer_question_3,3952,1916
action_executability_15_free_answer_question_4,3954,77174
action_executability_15_free_answer_question_5,3963,67
action_executability_19_true_false_answer_question_1,4125,5
action_executability_19_true_false_answer_question_2,4218,5
action_executability_19_free_answer_question_3,4161,2033
action_executability_19_free_answer_question_4,4163,77057
action_executability_19_free_answer_question_5,4197,67
effects_1_true_false_answer_question_1,3210,5
effects_1_true_false_answer_question_2,3225,5
effects_1_free_answer_question_3,3229,946
effects_1_free_answer_question_4,3252,8838
effects_5_true_false_answer_question_1,3462,5
effects_5_free_answer_question_3,3472,1018
effects_5_free_answer_question_4,3495,8752
effects_10_true_false_answer_question_1,3745,5
effects_10_true_false_answer_question_2,3760,5
effects_10_free_answer_question_3,3758,1100
effects_10_free_answer_question_4,3781,8650
effects_15_true_false_answer_question_1,4033,5
effects_15_free_answer_question_3,4049,1219
effects_15_free_answer_question_4,4072,8501
effects_19_true_false_answer_question_1,4260,5
effects_19_free_answer_question_3,4267,1292
effects_19_free_answer_question_4,4290,8414
numerical_reasoning_1_true_false_answer_question_1,3150,5
numerical_reasoning_1_true_false_answer_question_4,3161,5
numerical_reasoning_1_true_false_answer_question_5,3165,5
numerical_reasoning_1_true_false_answer_question_6,3187,5
numerical_reasoning_1_free_answer_question_7,3185,2
numerical_reasoning_1_free_answer_question_8,3207,2
numerical_reasoning_1_free_answer_question_9,3230,3
numerical_reasoning_1_free_answer_question_10,3210,2
numerical_reasoning_1_free_answer_question_11,3212,4
numerical_reasoning_1_free_answer_question_13,3310,1
numerical_reasoning_5_true_false_answer_question_1,3362,5
numerical_reasoning_5_true_false_answer_question_4,3373,5
numerical_reasoning_5_true_false_answer_question_5,3377,5
numerical_reasoning_5_true_false_answer_question_6,3399,5
numerical_reasoning_5_free_answer_question_7,3397,2
numerical_reasoning_5_free_answer_question_8,3419,2
