,question_len,answer_len
object_tracking_1_true_false_answer_question_1,2857,5
object_tracking_1_true_false_answer_question_2,3229,4
object_tracking_5_true_false_answer_question_1,3092,5
object_tracking_5_true_false_answer_question_2,3129,5
object_tracking_10_true_false_answer_question_1,3327,5
object_tracking_10_true_false_answer_question_2,3510,5
object_tracking_15_true_false_answer_question_1,3517,4
object_tracking_15_true_false_answer_question_2,3930,5
object_tracking_19_true_false_answer_question_1,3677,5
object_tracking_19_true_false_answer_question_2,3616,4
fluent_tracking_1_true_false_answer_question_1,2854,5
fluent_tracking_1_true_false_answer_question_2,2858,5
fluent_tracking_1_true_false_answer_question_3,3342,5
fluent_tracking_1_true_false_answer_question_4,5312,5
fluent_tracking_1_free_answer_question_5,2877,85
fluent_tracking_1_free_answer_question_6,2897,544
fluent_tracking_5_true_false_answer_question_1,3092,5
fluent_tracking_5_true_false_answer_question_2,3096,5
fluent_tracking_5_true_false_answer_question_3,3608,5
fluent_tracking_5_true_false_answer_question_4,5561,5
fluent_tracking_5_free_answer_question_5,3114,112
fluent_tracking_5_free_answer_question_6,3139,498
fluent_tracking_10_true_false_answer_question_1,3282,5
fluent_tracking_10_true_false_answer_question_2,3286,5
fluent_tracking_10_true_false_answer_question_3,3787,5
fluent_tracking_10_true_false_answer_question_4,5737,5
fluent_tracking_10_free_answer_question_5,3306,85
fluent_tracking_10_free_answer_question_6,3329,77
fluent_tracking_15_true_false_answer_question_1,3452,5
fluent_tracking_15_true_false_answer_question_2,3476,5
fluent_tracking_15_true_false_answer_question_3,4020,5
fluent_tracking_15_true_false_answer_question_4,5926,5
fluent_tracking_15_free_answer_question_5,3496,85
fluent_tracking_15_free_answer_question_6,3519,544
fluent_tracking_19_true_false_answer_question_1,3632,4
fluent_tracking_19_true_false_answer_question_2,3636,5
fluent_tracking_19_true_false_answer_question_3,4122,5
fluent_tracking_19_true_false_answer_question_4,6089,5
fluent_tracking_19_free_answer_question_5,3656,85
fluent_tracking_19_free_answer_question_6,3677,498
state_tracking_1_true_false_answer_question_1,3310,5
state_tracking_1_true_false_answer_question_2,5353,5
state_tracking_1_free_answer_question_3,2857,447
state_tracking_1_free_answer_question_4,2880,2459
state_tracking_5_true_false_answer_question_1,3555,5
state_tracking_5_true_false_answer_question_2,5580,5
state_tracking_5_free_answer_question_3,3095,447
state_tracking_5_free_answer_question_4,3118,2459
state_tracking_10_true_false_answer_question_1,3774,5
state_tracking_10_true_false_answer_question_2,5749,5
state_tracking_10_free_answer_question_3,3285,449
state_tracking_10_free_answer_question_4,3308,2457
state_tracking_15_true_false_answer_question_1,4014,5
state_tracking_15_true_false_answer_question_2,5936,5
state_tracking_15_free_answer_question_3,3475,451
state_tracking_15_free_answer_question_4,3498,2455
state_tracking_19_true_false_answer_question_1,4147,5
state_tracking_19_true_false_answer_question_2,6099,5
state_tracking_19_free_answer_question_3,3635,448
state_tracking_19_free_answer_question_4,3658,2458
action_executability_1_true_false_answer_question_1,2807,5
action_executability_1_true_false_answer_question_2,2896,5
action_executability_1_free_answer_question_3,2846,309
action_executability_1_free_answer_question_4,2848,100598
action_executability_1_free_answer_question_5,2860,59
action_executability_5_true_false_answer_question_1,3045,5
action_executability_5_true_false_answer_question_2,3134,5
action_executability_5_free_answer_question_3,3084,367
action_executability_5_free_answer_question_4,3086,100540
action_executability_5_free_answer_question_5,3098,59
action_executability_10_true_false_answer_question_1,3261,5
action_executability_10_true_false_answer_question_2,3351,5
action_executability_10_free_answer_question_3,3274,497
action_executability_10_free_answer_question_4,3276,100410
action_executability_10_free_answer_question_5,3311,59
action_executability_15_true_false_answer_question_1,3451,5
action_executability_15_true_false_answer_question_2,3515,5
action_executability_15_free_answer_question_3,3464,345
action_executability_15_free_answer_question_4,3466,100562
action_executability_15_free_answer_question_5,3503,59
action_executability_19_true_false_answer_question_1,3610,5
action_executability_19_true_false_answer_question_2,3673,5
action_executability_19_free_answer_question_3,3624,92
action_executability_19_free_answer_question_4,3626,100815
action_executability_19_free_answer_question_5,3664,59
effects_1_true_false_answer_question_1,2932,5
effects_1_true_false_answer_question_2,2955,5
effects_1_free_answer_question_3,2937,447
effects_1_free_answer_question_4,2960,2459
effects_5_true_false_answer_question_1,3133,5
effects_5_true_false_answer_question_2,3116,5
effects_5_free_answer_question_3,3146,448
effects_5_free_answer_question_4,3169,2458
effects_10_true_false_answer_question_1,3303,5
effects_10_true_false_answer_question_2,3327,5
effects_10_free_answer_question_3,3336,450
effects_10_free_answer_question_4,3359,2456
effects_15_true_false_answer_question_1,3499,5
effects_15_true_false_answer_question_2,3518,5
effects_15_free_answer_question_3,3527,450
effects_15_free_answer_question_4,3550,2456
effects_19_true_false_answer_question_1,3674,5
effects_19_true_false_answer_question_2,3678,5
effects_19_free_answer_question_3,3687,447
effects_19_free_answer_question_4,3710,2459
numerical_reasoning_1_true_false_answer_question_1,2839,5
numerical_reasoning_1_true_false_answer_question_4,2849,5
numerical_reasoning_1_true_false_answer_question_5,2854,5
numerical_reasoning_1_true_false_answer_question_6,2876,5
numerical_reasoning_1_free_answer_question_7,2874,2
numerical_reasoning_1_free_answer_question_8,2896,2
numerical_reasoning_1_free_answer_question_9,2919,2
numerical_reasoning_1_free_answer_question_10,2899,1
numerical_reasoning_1_free_answer_question_11,2901,4
numerical_reasoning_1_free_answer_question_13,2968,1
numerical_reasoning_5_true_false_answer_question_1,3077,5
numerical_reasoning_5_true_false_answer_question_4,3087,5
numerical_reasoning_5_true_false_answer_question_5,3092,5
numerical_reasoning_5_true_false_answer_question_6,3114,5
numerical_reasoning_5_free_answer_question_7,3112,2
numerical_reasoning_5_free_answer_question_8,3134,2
numerical_reasoning_5_free_answer_question_9,3157,2
numerical_reasoning_5_free_answer_question_10,3137,1
numerical_reasoning_5_free_answer_question_11,3139,4
numerical_reasoning_5_free_answer_question_13,3206,1
numerical_reasoning_10_true_false_answer_question_1,3267,5
