,question_len,answer_len
object_tracking_1_true_false_answer_question_1,1625,5
object_tracking_1_true_false_answer_question_2,1916,5
object_tracking_5_true_false_answer_question_1,1762,5
object_tracking_5_true_false_answer_question_2,1920,5
object_tracking_10_true_false_answer_question_1,1879,4
object_tracking_10_true_false_answer_question_2,2233,5
object_tracking_15_true_false_answer_question_1,2014,5
object_tracking_15_true_false_answer_question_2,2276,5
object_tracking_19_true_false_answer_question_1,2119,5
object_tracking_19_true_false_answer_question_2,2439,5
fluent_tracking_1_true_false_answer_question_1,1625,5
fluent_tracking_1_true_false_answer_question_2,1630,4
fluent_tracking_1_true_false_answer_question_3,1876,5
fluent_tracking_1_true_false_answer_question_4,3173,5
fluent_tracking_1_free_answer_question_5,1661,52
fluent_tracking_1_free_answer_question_6,1684,378
fluent_tracking_5_true_false_answer_question_1,1739,5
fluent_tracking_5_true_false_answer_question_2,1744,5
fluent_tracking_5_true_false_answer_question_3,2015,5
fluent_tracking_5_true_false_answer_question_4,3262,5
fluent_tracking_5_free_answer_question_5,1775,52
fluent_tracking_5_free_answer_question_6,1798,377
fluent_tracking_10_true_false_answer_question_1,1879,5
fluent_tracking_10_true_false_answer_question_2,1883,4
fluent_tracking_10_true_false_answer_question_3,2219,5
fluent_tracking_10_true_false_answer_question_4,3342,5
fluent_tracking_10_free_answer_question_5,1914,46
fluent_tracking_10_free_answer_question_6,1937,377
fluent_tracking_15_true_false_answer_question_1,1985,5
fluent_tracking_15_true_false_answer_question_2,1989,5
fluent_tracking_15_true_false_answer_question_3,2225,5
fluent_tracking_15_true_false_answer_question_4,3559,5
fluent_tracking_15_free_answer_question_5,2021,52
fluent_tracking_15_free_answer_question_6,2044,372
fluent_tracking_19_true_false_answer_question_1,2090,5
fluent_tracking_19_true_false_answer_question_2,2095,5
fluent_tracking_19_true_false_answer_question_3,2306,5
fluent_tracking_19_true_false_answer_question_4,3685,5
fluent_tracking_19_free_answer_question_5,2126,51
fluent_tracking_19_free_answer_question_6,2149,372
state_tracking_1_true_false_answer_question_1,1885,5
state_tracking_1_true_false_answer_question_2,3183,5
state_tracking_1_free_answer_question_3,1645,235
state_tracking_1_free_answer_question_4,1668,1531
state_tracking_5_true_false_answer_question_1,2025,5
state_tracking_5_true_false_answer_question_2,3272,5
state_tracking_5_free_answer_question_3,1759,255
state_tracking_5_free_answer_question_4,1782,1507
state_tracking_10_true_false_answer_question_1,2220,5
state_tracking_10_true_false_answer_question_2,3372,5
state_tracking_10_free_answer_question_3,1898,291
state_tracking_10_free_answer_question_4,1921,1463
state_tracking_15_true_false_answer_question_1,2237,5
state_tracking_15_true_false_answer_question_2,3569,5
state_tracking_15_free_answer_question_3,2005,215
state_tracking_15_free_answer_question_4,2028,1555
state_tracking_19_true_false_answer_question_1,2317,5
state_tracking_19_true_false_answer_question_2,3698,5
state_tracking_19_free_answer_question_3,2110,195
state_tracking_19_free_answer_question_4,2133,1579
action_executability_1_true_false_answer_question_1,1592,5
action_executability_1_true_false_answer_question_2,1652,5
action_executability_1_free_answer_question_3,1634,104
action_executability_1_free_answer_question_4,1636,2670
action_executability_1_free_answer_question_5,1645,30
action_executability_5_true_false_answer_question_1,1719,5
action_executability_5_true_false_answer_question_2,1770,5
action_executability_5_free_answer_question_3,1748,132
action_executability_5_free_answer_question_4,1750,2642
action_executability_5_free_answer_question_5,1768,30
action_executability_10_true_false_answer_question_1,1845,5
action_executability_10_true_false_answer_question_2,1911,5
action_executability_10_free_answer_question_3,1887,116
action_executability_10_free_answer_question_4,1889,2658
action_executability_10_free_answer_question_5,1898,30
action_executability_15_true_false_answer_question_1,1967,5
action_executability_15_true_false_answer_question_2,2018,5
action_executability_15_free_answer_question_3,1994,76
action_executability_15_free_answer_question_4,1996,2698
action_executability_15_free_answer_question_5,2016,30
action_executability_19_true_false_answer_question_1,2057,5
action_executability_19_true_false_answer_question_2,2123,5
action_executability_19_free_answer_question_3,2099,48
action_executability_19_free_answer_question_4,2101,2726
action_executability_19_free_answer_question_5,2121,26
effects_1_true_false_answer_question_1,1696,5
effects_1_true_false_answer_question_2,1657,5
effects_1_free_answer_question_3,1683,271
effects_1_free_answer_question_4,1706,1487
effects_5_true_false_answer_question_1,1811,5
effects_5_true_false_answer_question_2,1771,5
effects_5_free_answer_question_3,1797,291
effects_5_free_answer_question_4,1820,1463
effects_10_true_false_answer_question_1,1905,5
effects_10_true_false_answer_question_2,1954,4
effects_10_free_answer_question_3,1934,255
effects_10_free_answer_question_4,1957,1507
effects_15_true_false_answer_question_1,2076,5
effects_15_true_false_answer_question_2,2053,5
effects_15_free_answer_question_3,2052,231
effects_15_free_answer_question_4,2075,1535
effects_19_true_false_answer_question_1,2181,5
effects_19_true_false_answer_question_2,2157,5
effects_19_free_answer_question_3,2157,211
effects_19_free_answer_question_4,2180,1559
numerical_reasoning_1_true_false_answer_question_1,1626,5
numerical_reasoning_1_true_false_answer_question_4,1637,5
numerical_reasoning_1_true_false_answer_question_5,1640,5
numerical_reasoning_1_true_false_answer_question_6,1664,5
numerical_reasoning_1_free_answer_question_7,1662,1
numerical_reasoning_1_free_answer_question_8,1684,2
numerical_reasoning_1_free_answer_question_9,1707,2
numerical_reasoning_1_free_answer_question_10,1687,1
numerical_reasoning_1_free_answer_question_11,1689,2
numerical_reasoning_1_free_answer_question_13,1753,1
numerical_reasoning_5_true_false_answer_question_1,1740,5
numerical_reasoning_5_true_false_answer_question_4,1751,5
numerical_reasoning_5_true_false_answer_question_5,1755,5
numerical_reasoning_5_true_false_answer_question_6,1778,5
numerical_reasoning_5_free_answer_question_7,1776,1
numerical_reasoning_5_free_answer_question_8,1798,2
numerical_reasoning_5_free_answer_question_9,1821,2
numerical_reasoning_5_free_answer_question_10,1801,1
numerical_reasoning_5_free_answer_question_11,1803,2
numerical_reasoning_5_free_answer_question_13,1880,1
numerical_reasoning_10_true_false_answer_question_1,1879,5
numerical_reasoning_10_true_false_answer_question_4,1890,5
numerical_reasoning_10_true_false_answer_question_5,1893,5
numerical_reasoning_10_true_false_answer_question_6,1918,5
numerical_reasoning_10_free_answer_question_7,1915,1
numerical_reasoning_10_free_answer_question_8,1937,2
numerical_reasoning_10_free_answer_question_9,1960,2
numerical_reasoning_10_free_answer_question_10,1940,1
numerical_reasoning_10_free_answer_question_11,1942,2
numerical_reasoning_10_free_answer_question_13,2010,1
numerical_reasoning_15_true_false_answer_question_1,1986,5
numerical_reasoning_15_true_false_answer_question_4,1997,5
numerical_reasoning_15_true_false_answer_question_5,2001,5
numerical_reasoning_15_true_false_answer_question_6,2025,5
numerical_reasoning_15_free_answer_question_7,2022,1
numerical_reasoning_15_free_answer_question_8,2044,1
numerical_reasoning_15_free_answer_question_9,2067,2
numerical_reasoning_15_free_answer_question_10,2047,1
numerical_reasoning_15_free_answer_question_11,2049,2
numerical_reasoning_15_free_answer_question_13,2128,2
numerical_reasoning_19_true_false_answer_question_1,2091,5
numerical_reasoning_19_true_false_answer_question_4,2102,5
numerical_reasoning_19_true_false_answer_question_5,2106,5
numerical_reasoning_19_true_false_answer_question_6,2130,5
numerical_reasoning_19_free_answer_question_7,2127,1
numerical_reasoning_19_free_answer_question_8,2149,1
numerical_reasoning_19_free_answer_question_9,2172,2
numerical_reasoning_19_free_answer_question_10,2152,1
numerical_reasoning_19_free_answer_question_11,2154,2
numerical_reasoning_19_free_answer_question_13,2233,2
hallucination_1_true_false_answer_question_1,1665,4
hallucination_1_true_false_answer_question_2,1684,5
hallucination_1_true_false_answer_question_3,1684,5
hallucination_1_true_false_answer_question_4,1714,5
hallucination_1_true_false_answer_question_5,1718,5
hallucination_1_free_answer_question_6,1717,2
hallucination_1_free_answer_question_7,1914,16
hallucination_1_free_answer_question_8,3132,30
hallucination_5_true_false_answer_question_1,1779,5
hallucination_5_true_false_answer_question_2,1798,5
hallucination_5_true_false_answer_question_3,1802,5
