,question_len,answer_len
object_tracking_1_true_false_answer_question_1,4538,5
object_tracking_1_true_false_answer_question_2,5915,4
object_tracking_5_true_false_answer_question_1,4501,5
object_tracking_5_true_false_answer_question_2,6443,5
object_tracking_10_true_false_answer_question_1,4722,5
object_tracking_10_true_false_answer_question_2,5923,5
object_tracking_15_true_false_answer_question_1,5347,5
object_tracking_15_true_false_answer_question_2,5225,5
object_tracking_19_true_false_answer_question_1,5816,5
object_tracking_19_true_false_answer_question_2,6514,5
fluent_tracking_1_true_false_answer_question_1,4311,5
fluent_tracking_1_true_false_answer_question_2,4314,5
fluent_tracking_1_true_false_answer_question_3,6847,5
fluent_tracking_1_true_false_answer_question_4,17746,5
fluent_tracking_1_free_answer_question_5,4325,221
fluent_tracking_1_free_answer_question_6,4347,2348
fluent_tracking_5_true_false_answer_question_1,4501,5
fluent_tracking_5_true_false_answer_question_2,4504,5
fluent_tracking_5_true_false_answer_question_3,7016,5
fluent_tracking_5_true_false_answer_question_4,17956,5
fluent_tracking_5_free_answer_question_5,4513,591
fluent_tracking_5_free_answer_question_6,4536,1874
fluent_tracking_10_true_false_answer_question_1,4731,5
fluent_tracking_10_true_false_answer_question_2,4732,4
fluent_tracking_10_true_false_answer_question_3,7242,5
fluent_tracking_10_true_false_answer_question_4,18164,5
fluent_tracking_10_free_answer_question_5,4743,782
fluent_tracking_10_free_answer_question_6,4766,390
fluent_tracking_15_true_false_answer_question_1,4971,5
fluent_tracking_15_true_false_answer_question_2,4972,5
fluent_tracking_15_true_false_answer_question_3,7480,5
fluent_tracking_15_true_false_answer_question_4,18379,5
fluent_tracking_15_free_answer_question_5,4979,535
fluent_tracking_15_free_answer_question_6,5000,2348
fluent_tracking_19_true_false_answer_question_1,5159,4
fluent_tracking_19_true_false_answer_question_2,5160,5
fluent_tracking_19_true_false_answer_question_3,7691,5
fluent_tracking_19_true_false_answer_question_4,18556,5
fluent_tracking_19_free_answer_question_5,5171,221
fluent_tracking_19_free_answer_question_6,5193,2348
state_tracking_1_true_false_answer_question_1,6888,5
state_tracking_1_true_false_answer_question_2,17738,5
state_tracking_1_free_answer_question_3,4303,2548
state_tracking_1_free_answer_question_4,4326,13273
state_tracking_5_true_false_answer_question_1,7026,5
state_tracking_5_true_false_answer_question_2,17945,5
state_tracking_5_free_answer_question_3,4491,2529
state_tracking_5_free_answer_question_4,4514,13296
state_tracking_10_true_false_answer_question_1,7241,5
state_tracking_10_true_false_answer_question_2,18187,5
state_tracking_10_free_answer_question_3,4721,2514
state_tracking_10_free_answer_question_4,4744,13311
state_tracking_15_true_false_answer_question_1,7630,5
state_tracking_15_true_false_answer_question_2,18327,5
state_tracking_15_free_answer_question_3,4959,2519
state_tracking_15_free_answer_question_4,4982,13306
state_tracking_19_true_false_answer_question_1,7701,5
state_tracking_19_true_false_answer_question_2,18567,5
state_tracking_19_free_answer_question_3,5149,2546
state_tracking_19_free_answer_question_4,5172,13275
action_executability_1_true_false_answer_question_1,4260,5
action_executability_1_true_false_answer_question_2,4327,5
action_executability_1_free_answer_question_3,4292,295
action_executability_1_free_answer_question_4,4294,66599
action_executability_1_free_answer_question_5,4311,55
action_executability_5_true_false_answer_question_1,4446,5
action_executability_5_true_false_answer_question_2,4527,5
action_executability_5_free_answer_question_3,4480,409
action_executability_5_free_answer_question_4,4482,66485
action_executability_5_free_answer_question_5,4491,45
action_executability_10_true_false_answer_question_1,4683,5
action_executability_10_true_false_answer_question_2,4756,5
action_executability_10_free_answer_question_3,4710,596
action_executability_10_free_answer_question_4,4712,66298
action_executability_10_free_answer_question_5,4740,57
action_executability_15_true_false_answer_question_1,4914,5
action_executability_15_true_false_answer_question_2,4991,4
action_executability_15_free_answer_question_3,4948,592
action_executability_15_free_answer_question_4,4950,66302
action_executability_15_free_answer_question_5,4970,49
action_executability_19_true_false_answer_question_1,5113,5
action_executability_19_true_false_answer_question_2,5196,5
action_executability_19_free_answer_question_3,5138,284
action_executability_19_free_answer_question_4,5140,66610
action_executability_19_free_answer_question_5,5151,55
effects_1_true_false_answer_question_1,4371,5
effects_1_true_false_answer_question_2,4372,5
effects_1_free_answer_question_3,4371,2546
effects_1_free_answer_question_4,4394,13275
effects_5_true_false_answer_question_1,4563,5
effects_5_true_false_answer_question_2,4568,5
effects_5_free_answer_question_3,4565,2529
effects_5_free_answer_question_4,4588,13296
effects_10_true_false_answer_question_1,4795,5
effects_10_true_false_answer_question_2,4798,5
effects_10_free_answer_question_3,4795,2514
effects_10_free_answer_question_4,4818,13311
effects_15_true_false_answer_question_1,5022,5
effects_15_true_false_answer_question_2,5023,5
effects_15_free_answer_question_3,5022,2524
effects_15_free_answer_question_4,5045,13301
effects_19_true_false_answer_question_1,5217,5
effects_19_true_false_answer_question_2,5218,5
effects_19_free_answer_question_3,5217,2548
effects_19_free_answer_question_4,5240,13273
numerical_reasoning_1_true_false_answer_question_1,4285,5
numerical_reasoning_1_true_false_answer_question_4,4295,5
numerical_reasoning_1_true_false_answer_question_5,4300,5
numerical_reasoning_1_true_false_answer_question_6,4322,5
numerical_reasoning_1_free_answer_question_7,4320,2
numerical_reasoning_1_free_answer_question_8,4342,2
numerical_reasoning_1_free_answer_question_9,4365,3
numerical_reasoning_1_free_answer_question_10,4345,1
numerical_reasoning_1_free_answer_question_11,4347,4
numerical_reasoning_1_free_answer_question_13,4419,1
numerical_reasoning_5_true_false_answer_question_1,4473,5
numerical_reasoning_5_true_false_answer_question_4,4483,5
numerical_reasoning_5_true_false_answer_question_5,4488,5
numerical_reasoning_5_true_false_answer_question_6,4510,5
numerical_reasoning_5_free_answer_question_7,4508,2
numerical_reasoning_5_free_answer_question_8,4530,2
numerical_reasoning_5_free_answer_question_9,4553,3
numerical_reasoning_5_free_answer_question_10,4533,1
numerical_reasoning_5_free_answer_question_11,4535,4
numerical_reasoning_5_free_answer_question_13,4607,1
numerical_reasoning_10_true_false_answer_question_1,4703,5
numerical_reasoning_10_true_false_answer_question_4,4714,5
numerical_reasoning_10_true_false_answer_question_5,4718,5
numerical_reasoning_10_true_false_answer_question_6,4741,5
numerical_reasoning_10_free_answer_question_7,4738,2
numerical_reasoning_10_free_answer_question_8,4760,2
numerical_reasoning_10_free_answer_question_9,4783,3
numerical_reasoning_10_free_answer_question_10,4763,2
numerical_reasoning_10_free_answer_question_11,4765,4
numerical_reasoning_10_free_answer_question_13,4846,1
numerical_reasoning_15_true_false_answer_question_1,4941,5
numerical_reasoning_15_true_false_answer_question_4,4952,5
numerical_reasoning_15_true_false_answer_question_5,4956,5
numerical_reasoning_15_true_false_answer_question_6,4979,5
numerical_reasoning_15_free_answer_question_7,4976,2
numerical_reasoning_15_free_answer_question_8,4998,2
numerical_reasoning_15_free_answer_question_9,5021,3
numerical_reasoning_15_free_answer_question_10,5001,2
numerical_reasoning_15_free_answer_question_11,5003,4
numerical_reasoning_15_free_answer_question_13,5077,1
numerical_reasoning_19_true_false_answer_question_1,5131,5
numerical_reasoning_19_true_false_answer_question_4,5141,5
numerical_reasoning_19_true_false_answer_question_5,5146,5
numerical_reasoning_19_true_false_answer_question_6,5169,5
numerical_reasoning_19_free_answer_question_7,5166,2
numerical_reasoning_19_free_answer_question_8,5188,2
numerical_reasoning_19_free_answer_question_9,5211,3
numerical_reasoning_19_free_answer_question_10,5191,1
numerical_reasoning_19_free_answer_question_11,5193,4
numerical_reasoning_19_free_answer_question_13,5268,2
hallucination_1_true_false_answer_question_1,4327,5
hallucination_1_true_false_answer_question_2,4369,5
hallucination_1_true_false_answer_question_3,4370,4
hallucination_1_true_false_answer_question_4,4392,4
hallucination_1_true_false_answer_question_5,4402,5
hallucination_1_free_answer_question_6,4438,3
hallucination_1_free_answer_question_7,6434,31
hallucination_1_free_answer_question_8,17292,49
hallucination_5_true_false_answer_question_1,4516,5
hallucination_5_true_false_answer_question_2,4555,5
hallucination_5_true_false_answer_question_3,4549,5
hallucination_5_true_false_answer_question_4,4582,5
hallucination_5_true_false_answer_question_5,4589,5
hallucination_5_free_answer_question_6,4672,8
hallucination_5_free_answer_question_7,6560,28
hallucination_5_free_answer_question_8,17198,49
hallucination_10_true_false_answer_question_1,4746,4
hallucination_10_true_false_answer_question_2,4769,5
hallucination_10_true_false_answer_question_3,4788,5
hallucination_10_true_false_answer_question_4,4815,5
hallucination_10_true_false_answer_question_5,4821,5
hallucination_10_free_answer_question_6,4900,8
hallucination_10_free_answer_question_7,5991,35
hallucination_10_free_answer_question_8,16226,52
hallucination_15_true_false_answer_question_1,4985,5
hallucination_15_true_false_answer_question_2,5025,5
hallucination_15_true_false_answer_question_3,5015,5
hallucination_15_true_false_answer_question_4,5053,5
hallucination_15_true_false_answer_question_5,5050,5
hallucination_15_free_answer_question_6,5139,6
hallucination_15_free_answer_question_7,6738,33
hallucination_15_free_answer_question_8,9922,52
hallucination_19_true_false_answer_question_1,5175,5
hallucination_19_true_false_answer_question_2,5215,5
hallucination_19_true_false_answer_question_3,5216,5
hallucination_19_true_false_answer_question_4,5238,4
hallucination_19_true_false_answer_question_5,5246,4
hallucination_19_free_answer_question_6,5274,8
hallucination_19_free_answer_question_7,6708,35
hallucination_19_free_answer_question_8,10207,52
