plan_length,question_category,True_questions,False_questions,none_questions,free_form_questions,total_questions
plan_length_1,object_tracking,16.0,10.0,0.0,26.0,52.0
plan_length_1,fluent_tracking,28.0,24.0,0.0,26.0,78.0
plan_length_1,state_tracking,14.0,12.0,0.0,26.0,52.0
plan_length_1,action_executability,14.0,12.0,8.0,31.0,65.0
plan_length_1,effects,13.0,13.0,0.0,26.0,52.0
plan_length_1,numerical_reasoning,26.0,26.0,0.0,78.0,130.0
plan_length_1,hallucination,33.0,32.0,15.0,24.0,104.0
plan_length_1,Total,144.0,129.0,23.0,237.0,533.0
plan_length_5,object_tracking,11.0,15.0,0.0,26.0,52.0
plan_length_5,fluent_tracking,27.0,25.0,0.0,26.0,78.0
plan_length_5,state_tracking,14.0,12.0,0.0,26.0,52.0
plan_length_5,action_executability,19.0,7.0,7.0,32.0,65.0
plan_length_5,effects,13.0,13.0,0.0,26.0,52.0
plan_length_5,numerical_reasoning,28.0,24.0,0.0,78.0,130.0
plan_length_5,hallucination,31.0,34.0,11.0,28.0,104.0
plan_length_5,Total,143.0,130.0,18.0,242.0,533.0
plan_length_10,object_tracking,14.0,12.0,0.0,26.0,52.0
plan_length_10,fluent_tracking,17.0,35.0,0.0,26.0,78.0
plan_length_10,state_tracking,12.0,14.0,0.0,26.0,52.0
plan_length_10,action_executability,9.0,17.0,7.0,32.0,65.0
plan_length_10,effects,13.0,13.0,0.0,26.0,52.0
plan_length_10,numerical_reasoning,23.0,29.0,0.0,78.0,130.0
plan_length_10,hallucination,32.0,33.0,11.0,28.0,104.0
plan_length_10,Total,120.0,153.0,18.0,242.0,533.0
plan_length_15,object_tracking,12.0,14.0,0.0,26.0,52.0
plan_length_15,fluent_tracking,20.0,32.0,0.0,26.0,78.0
plan_length_15,state_tracking,18.0,8.0,0.0,26.0,52.0
plan_length_15,action_executability,15.0,11.0,5.0,34.0,65.0
plan_length_15,effects,13.0,13.0,0.0,26.0,52.0
plan_length_15,numerical_reasoning,28.0,24.0,0.0,78.0,130.0
plan_length_15,hallucination,35.0,30.0,10.0,29.0,104.0
plan_length_15,Total,141.0,132.0,15.0,245.0,533.0
plan_length_19,object_tracking,13.0,13.0,0.0,26.0,52.0
plan_length_19,fluent_tracking,26.0,26.0,0.0,26.0,78.0
plan_length_19,state_tracking,11.0,15.0,0.0,26.0,52.0
plan_length_19,action_executability,12.0,14.0,6.0,33.0,65.0
plan_length_19,effects,13.0,13.0,0.0,26.0,52.0
plan_length_19,numerical_reasoning,30.0,22.0,0.0,78.0,130.0
plan_length_19,hallucination,37.0,28.0,13.0,26.0,104.0
plan_length_19,Total,142.0,131.0,19.0,241.0,533.0
