,question_len,answer_len
object_tracking_1_true_false_answer_question_1,2142,5
object_tracking_1_true_false_answer_question_2,2925,5
object_tracking_5_true_false_answer_question_1,2539,5
object_tracking_5_true_false_answer_question_2,3115,5
object_tracking_10_true_false_answer_question_1,2953,5
object_tracking_10_true_false_answer_question_2,2928,5
object_tracking_15_true_false_answer_question_1,3135,5
object_tracking_15_true_false_answer_question_2,3273,5
object_tracking_19_true_false_answer_question_1,3295,5
object_tracking_19_true_false_answer_question_2,3767,5
fluent_tracking_1_true_false_answer_question_1,2142,5
fluent_tracking_1_true_false_answer_question_2,2146,5
fluent_tracking_1_true_false_answer_question_3,3561,5
fluent_tracking_1_true_false_answer_question_4,7149,5
fluent_tracking_1_free_answer_question_5,2158,320
fluent_tracking_1_free_answer_question_6,2181,899
fluent_tracking_5_true_false_answer_question_1,2361,5
fluent_tracking_5_true_false_answer_question_2,2365,5
fluent_tracking_5_true_false_answer_question_3,3780,5
fluent_tracking_5_true_false_answer_question_4,7459,5
fluent_tracking_5_free_answer_question_5,2377,224
fluent_tracking_5_free_answer_question_6,2400,905
fluent_tracking_10_true_false_answer_question_1,2631,5
fluent_tracking_10_true_false_answer_question_2,2635,5
fluent_tracking_10_true_false_answer_question_3,4050,5
fluent_tracking_10_true_false_answer_question_4,7792,5
fluent_tracking_10_free_answer_question_5,2647,314
fluent_tracking_10_free_answer_question_6,2670,899
fluent_tracking_15_true_false_answer_question_1,2901,5
fluent_tracking_15_true_false_answer_question_2,2905,5
fluent_tracking_15_true_false_answer_question_3,4320,5
fluent_tracking_15_true_false_answer_question_4,8073,5
fluent_tracking_15_free_answer_question_5,2917,320
fluent_tracking_15_free_answer_question_6,2940,899
fluent_tracking_19_true_false_answer_question_1,3117,5
fluent_tracking_19_true_false_answer_question_2,3121,5
fluent_tracking_19_true_false_answer_question_3,4536,5
fluent_tracking_19_true_false_answer_question_4,8238,5
fluent_tracking_19_free_answer_question_5,3133,320
fluent_tracking_19_free_answer_question_6,3156,691
state_tracking_1_true_false_answer_question_1,3531,5
state_tracking_1_true_false_answer_question_2,7131,5
state_tracking_1_free_answer_question_3,2139,1426
state_tracking_1_free_answer_question_4,2162,4969
state_tracking_5_true_false_answer_question_1,3790,5
state_tracking_5_true_false_answer_question_2,7390,5
state_tracking_5_free_answer_question_3,2358,1426
state_tracking_5_free_answer_question_4,2381,4969
state_tracking_10_true_false_answer_question_1,4060,5
state_tracking_10_true_false_answer_question_2,7751,5
state_tracking_10_free_answer_question_3,2628,1426
state_tracking_10_free_answer_question_4,2651,4969
state_tracking_15_true_false_answer_question_1,4330,5
state_tracking_15_true_false_answer_question_2,8100,5
state_tracking_15_free_answer_question_3,2898,1426
state_tracking_15_free_answer_question_4,2921,4969
state_tracking_19_true_false_answer_question_1,4563,5
