plan_length,question_category,True_questions,False_questions,none_questions,free_form_questions,total_questions
plan_length_1,object_tracking,1,1,0,2,4
plan_length_1,fluent_tracking,3,1,0,2,6
plan_length_1,state_tracking,2,0,0,2,4
plan_length_1,action_executability,1,1,1,2,5
plan_length_1,effects,1,1,0,2,4
plan_length_1,numerical_reasoning,1,3,0,6,10
plan_length_1,hallucination,2,3,2,1,8
plan_length_1,Total,11,10,3,17,41
plan_length_5,object_tracking,1,1,0,2,4
plan_length_5,fluent_tracking,2,2,0,2,6
plan_length_5,state_tracking,1,1,0,2,4
plan_length_5,action_executability,1,1,1,2,5
plan_length_5,effects,1,1,0,2,4
plan_length_5,numerical_reasoning,2,2,0,6,10
plan_length_5,hallucination,2,3,2,1,8
plan_length_5,Total,10,11,3,17,41
plan_length_10,object_tracking,1,1,0,2,4
plan_length_10,fluent_tracking,1,3,0,2,6
plan_length_10,state_tracking,1,1,0,2,4
plan_length_10,action_executability,1,1,1,2,5
plan_length_10,effects,1,1,0,2,4
plan_length_10,numerical_reasoning,1,3,0,6,10
plan_length_10,hallucination,2,3,1,2,8
plan_length_10,Total,8,13,2,18,41
plan_length_15,object_tracking,1,1,0,2,4
plan_length_15,fluent_tracking,1,3,0,2,6
plan_length_15,state_tracking,2,0,0,2,4
plan_length_15,action_executability,2,0,0,3,5
plan_length_15,effects,1,1,0,2,4
plan_length_15,numerical_reasoning,1,3,0,6,10
plan_length_15,hallucination,4,1,1,2,8
plan_length_15,Total,12,9,1,19,41
plan_length_19,object_tracking,0,2,0,2,4
plan_length_19,fluent_tracking,3,1,0,2,6
plan_length_19,state_tracking,1,1,0,2,4
plan_length_19,action_executability,2,0,0,3,5
plan_length_19,effects,1,1,0,2,4
plan_length_19,numerical_reasoning,2,2,0,6,10
plan_length_19,hallucination,3,2,1,2,8
plan_length_19,Total,12,9,1,19,41
