,question_len,total_question_len
object_tracking_1_true_false_answer_question_1,8816.0,
object_tracking_1_true_false_answer_question_2,10524.0,
object_tracking_5_true_false_answer_question_1,11272.0,
object_tracking_5_true_false_answer_question_2,12766.0,
object_tracking_10_true_false_answer_question_1,13991.0,
object_tracking_10_true_false_answer_question_2,15578.0,
object_tracking_15_true_false_answer_question_1,16757.0,
object_tracking_15_true_false_answer_question_2,17933.0,
object_tracking_19_true_false_answer_question_1,19093.0,
object_tracking_19_true_false_answer_question_2,20167.0,
fluent_tracking_1_true_false_answer_question_1,8816.0,
fluent_tracking_1_true_false_answer_question_2,8861.0,
fluent_tracking_1_true_false_answer_question_3,13527.0,
fluent_tracking_1_true_false_answer_question_4,35850.0,
fluent_tracking_1_free_answer_question_5,9593.0,
fluent_tracking_1_free_answer_question_6,12114.0,
fluent_tracking_5_true_false_answer_question_1,11114.0,
fluent_tracking_5_true_false_answer_question_2,11152.0,
fluent_tracking_5_true_false_answer_question_3,15852.0,
fluent_tracking_5_true_false_answer_question_4,38172.0,
fluent_tracking_5_free_answer_question_5,11950.0,
fluent_tracking_5_free_answer_question_6,14532.0,
fluent_tracking_10_true_false_answer_question_1,13931.0,
fluent_tracking_10_true_false_answer_question_2,13971.0,
fluent_tracking_10_true_false_answer_question_3,18643.0,
fluent_tracking_10_true_false_answer_question_4,40983.0,
fluent_tracking_10_free_answer_question_5,14547.0,
fluent_tracking_10_free_answer_question_6,16926.0,
fluent_tracking_15_true_false_answer_question_1,16725.0,
fluent_tracking_15_true_false_answer_question_2,16758.0,
fluent_tracking_15_true_false_answer_question_3,21423.0,
fluent_tracking_15_true_false_answer_question_4,43777.0,
fluent_tracking_15_free_answer_question_5,17620.0,
fluent_tracking_15_free_answer_question_6,19657.0,
fluent_tracking_19_true_false_answer_question_1,18948.0,
fluent_tracking_19_true_false_answer_question_2,18989.0,
fluent_tracking_19_true_false_answer_question_3,23664.0,
fluent_tracking_19_true_false_answer_question_4,45977.0,
fluent_tracking_19_free_answer_question_5,19746.0,
fluent_tracking_19_free_answer_question_6,22092.0,
state_tracking_1_true_false_answer_question_1,13639.0,
state_tracking_1_true_false_answer_question_2,35965.0,
state_tracking_1_free_answer_question_3,13073.0,
state_tracking_1_free_answer_question_4,33725.0,
state_tracking_5_true_false_answer_question_1,15919.0,
state_tracking_5_true_false_answer_question_2,38279.0,
state_tracking_5_free_answer_question_3,15369.0,
state_tracking_5_free_answer_question_4,36029.0,
state_tracking_10_true_false_answer_question_1,18743.0,
state_tracking_10_true_false_answer_question_2,41071.0,
state_tracking_10_free_answer_question_3,18174.0,
state_tracking_10_free_answer_question_4,38846.0,
state_tracking_15_true_false_answer_question_1,21537.0,
state_tracking_15_true_false_answer_question_2,43888.0,
state_tracking_15_free_answer_question_3,20965.0,
state_tracking_15_free_answer_question_4,41643.0,
state_tracking_19_true_false_answer_question_1,23774.0,
state_tracking_19_true_false_answer_question_2,46113.0,
state_tracking_19_free_answer_question_3,23191.0,
state_tracking_19_free_answer_question_4,43865.0,
action_executability_1_true_false_answer_question_1,8463.0,
action_executability_1_true_false_answer_question_2,9357.0,
action_executability_1_free_answer_question_3,18647.0,
action_executability_1_free_answer_question_4,338439.0,
action_executability_1_free_answer_question_5,9227.0,
action_executability_5_true_false_answer_question_1,10751.0,
