,question_len,answer_len
object_tracking_1_true_false_answer_question_1,3056,5
object_tracking_1_true_false_answer_question_2,4035,5
object_tracking_5_true_false_answer_question_1,3199,5
object_tracking_5_true_false_answer_question_2,4301,5
object_tracking_10_true_false_answer_question_1,3396,5
object_tracking_10_true_false_answer_question_2,4177,5
object_tracking_15_true_false_answer_question_1,3571,5
object_tracking_15_true_false_answer_question_2,3942,5
object_tracking_19_true_false_answer_question_1,3615,4
object_tracking_19_true_false_answer_question_2,4560,5
fluent_tracking_1_true_false_answer_question_1,2868,5
fluent_tracking_1_true_false_answer_question_2,2872,5
fluent_tracking_1_true_false_answer_question_3,5174,5
fluent_tracking_1_true_false_answer_question_4,18667,5
fluent_tracking_1_free_answer_question_5,2899,223
fluent_tracking_1_free_answer_question_6,2922,1448
fluent_tracking_5_true_false_answer_question_1,3011,5
fluent_tracking_5_true_false_answer_question_2,3015,4
fluent_tracking_5_true_false_answer_question_3,5372,5
fluent_tracking_5_true_false_answer_question_4,18732,5
fluent_tracking_5_free_answer_question_5,3042,245
fluent_tracking_5_free_answer_question_6,3065,1504
fluent_tracking_10_true_false_answer_question_1,3186,5
fluent_tracking_10_true_false_answer_question_2,3190,5
fluent_tracking_10_true_false_answer_question_3,5702,5
fluent_tracking_10_true_false_answer_question_4,18777,5
fluent_tracking_10_free_answer_question_5,3217,297
fluent_tracking_10_free_answer_question_6,3240,1448
fluent_tracking_15_true_false_answer_question_1,3361,5
fluent_tracking_15_true_false_answer_question_2,3365,5
fluent_tracking_15_true_false_answer_question_3,6078,5
fluent_tracking_15_true_false_answer_question_4,18822,5
fluent_tracking_15_free_answer_question_5,3392,245
fluent_tracking_15_free_answer_question_6,3415,1530
fluent_tracking_19_true_false_answer_question_1,3501,5
fluent_tracking_19_true_false_answer_question_2,3505,4
fluent_tracking_19_true_false_answer_question_3,6319,5
fluent_tracking_19_true_false_answer_question_4,18858,5
fluent_tracking_19_free_answer_question_5,3532,319
fluent_tracking_19_free_answer_question_6,3555,1504
state_tracking_1_true_false_answer_question_1,5170,5
state_tracking_1_true_false_answer_question_2,18692,5
state_tracking_1_free_answer_question_3,2876,2288
state_tracking_1_free_answer_question_4,2899,15795
state_tracking_5_true_false_answer_question_1,5410,5
state_tracking_5_true_false_answer_question_2,18742,5
state_tracking_5_free_answer_question_3,3019,2354
state_tracking_5_free_answer_question_4,3042,15717
state_tracking_10_true_false_answer_question_1,5665,5
state_tracking_10_true_false_answer_question_2,18787,5
state_tracking_10_free_answer_question_3,3194,2464
state_tracking_10_free_answer_question_4,3217,15587
state_tracking_15_true_false_answer_question_1,6099,5
state_tracking_15_true_false_answer_question_2,18832,5
state_tracking_15_free_answer_question_3,3369,2574
state_tracking_15_free_answer_question_4,3392,15457
state_tracking_19_true_false_answer_question_1,6192,5
state_tracking_19_true_false_answer_question_2,18809,5
state_tracking_19_free_answer_question_3,3509,2662
state_tracking_19_free_answer_question_4,3532,15353
action_executability_1_true_false_answer_question_1,2823,5
action_executability_1_true_false_answer_question_2,2886,5
action_executability_1_free_answer_question_3,2865,71
action_executability_1_free_answer_question_4,2867,14631
action_executability_1_free_answer_question_5,2876,33
action_executability_5_true_false_answer_question_1,2966,5
action_executability_5_true_false_answer_question_2,3029,5
action_executability_5_free_answer_question_3,3008,106
action_executability_5_free_answer_question_4,3010,14596
action_executability_5_free_answer_question_5,3019,33
action_executability_10_true_false_answer_question_1,3141,5
action_executability_10_true_false_answer_question_2,3205,5
action_executability_10_free_answer_question_3,3183,141
action_executability_10_free_answer_question_4,3185,14561
action_executability_10_free_answer_question_5,3194,33
action_executability_15_true_false_answer_question_1,3316,5
action_executability_15_true_false_answer_question_2,3380,4
action_executability_15_free_answer_question_3,3358,106
action_executability_15_free_answer_question_4,3360,14596
action_executability_15_free_answer_question_5,3369,33
action_executability_19_true_false_answer_question_1,3456,5
action_executability_19_true_false_answer_question_2,3521,5
action_executability_19_free_answer_question_3,3498,71
action_executability_19_free_answer_question_4,3500,14631
action_executability_19_free_answer_question_5,3509,33
effects_1_true_false_answer_question_1,2912,5
effects_1_true_false_answer_question_2,2916,5
effects_1_free_answer_question_3,2930,2288
effects_1_free_answer_question_4,2953,15795
effects_5_true_false_answer_question_1,3081,5
effects_5_true_false_answer_question_2,3059,5
effects_5_free_answer_question_3,3073,2376
effects_5_free_answer_question_4,3096,15691
effects_10_true_false_answer_question_1,3256,5
effects_10_true_false_answer_question_2,3234,5
effects_10_free_answer_question_3,3248,2486
effects_10_free_answer_question_4,3271,15561
effects_15_true_false_answer_question_1,3431,5
effects_15_true_false_answer_question_2,3409,5
effects_15_free_answer_question_3,3423,2596
effects_15_free_answer_question_4,3446,15431
effects_19_true_false_answer_question_1,3570,5
effects_19_true_false_answer_question_2,3549,5
effects_19_free_answer_question_3,3563,2684
effects_19_free_answer_question_4,3586,15327
numerical_reasoning_1_true_false_answer_question_1,2858,5
numerical_reasoning_1_true_false_answer_question_4,2868,5
numerical_reasoning_1_true_false_answer_question_5,2872,5
numerical_reasoning_1_true_false_answer_question_6,2895,5
numerical_reasoning_1_free_answer_question_7,2893,2
numerical_reasoning_1_free_answer_question_8,2915,2
numerical_reasoning_1_free_answer_question_9,2938,3
numerical_reasoning_1_free_answer_question_10,2918,1
numerical_reasoning_1_free_answer_question_11,2920,3
numerical_reasoning_1_free_answer_question_13,2984,1
numerical_reasoning_5_true_false_answer_question_1,3001,5
numerical_reasoning_5_true_false_answer_question_4,3011,5
numerical_reasoning_5_true_false_answer_question_5,3015,5
numerical_reasoning_5_true_false_answer_question_6,3038,5
numerical_reasoning_5_free_answer_question_7,3036,2
numerical_reasoning_5_free_answer_question_8,3058,2
numerical_reasoning_5_free_answer_question_9,3081,3
numerical_reasoning_5_free_answer_question_10,3061,1
numerical_reasoning_5_free_answer_question_11,3063,3
numerical_reasoning_5_free_answer_question_13,3127,1
numerical_reasoning_10_true_false_answer_question_1,3176,5
numerical_reasoning_10_true_false_answer_question_4,3186,5
numerical_reasoning_10_true_false_answer_question_5,3190,5
numerical_reasoning_10_true_false_answer_question_6,3214,5
numerical_reasoning_10_free_answer_question_7,3211,2
numerical_reasoning_10_free_answer_question_8,3233,2
numerical_reasoning_10_free_answer_question_9,3256,3
numerical_reasoning_10_free_answer_question_10,3236,1
numerical_reasoning_10_free_answer_question_11,3238,3
numerical_reasoning_10_free_answer_question_13,3302,1
