,question_len,answer_len
object_tracking_1_true_false_answer_question_1,2018,5
object_tracking_1_true_false_answer_question_2,2640,5
object_tracking_5_true_false_answer_question_1,2167,5
object_tracking_5_true_false_answer_question_2,2471,5
object_tracking_10_true_false_answer_question_1,2346,4
object_tracking_10_true_false_answer_question_2,3269,5
object_tracking_15_true_false_answer_question_1,2535,5
object_tracking_15_true_false_answer_question_2,2762,5
object_tracking_19_true_false_answer_question_1,2679,5
object_tracking_19_true_false_answer_question_2,3428,5
fluent_tracking_1_true_false_answer_question_1,1976,5
fluent_tracking_1_true_false_answer_question_2,1985,5
fluent_tracking_1_true_false_answer_question_3,2800,5
fluent_tracking_1_true_false_answer_question_4,8829,5
fluent_tracking_1_free_answer_question_5,2015,95
fluent_tracking_1_free_answer_question_6,2037,321
fluent_tracking_5_true_false_answer_question_1,2138,5
fluent_tracking_5_true_false_answer_question_2,2134,4
fluent_tracking_5_true_false_answer_question_3,2951,5
fluent_tracking_5_true_false_answer_question_4,8986,5
fluent_tracking_5_free_answer_question_5,2172,95
fluent_tracking_5_free_answer_question_6,2194,321
fluent_tracking_10_true_false_answer_question_1,2331,5
fluent_tracking_10_true_false_answer_question_2,2323,5
fluent_tracking_10_true_false_answer_question_3,3215,5
fluent_tracking_10_true_false_answer_question_4,9179,5
fluent_tracking_10_free_answer_question_5,2365,115
fluent_tracking_10_free_answer_question_6,2388,975
fluent_tracking_15_true_false_answer_question_1,2507,5
fluent_tracking_15_true_false_answer_question_2,2524,4
fluent_tracking_15_true_false_answer_question_3,3355,5
fluent_tracking_15_true_false_answer_question_4,9373,5
fluent_tracking_15_free_answer_question_5,2554,69
fluent_tracking_15_free_answer_question_6,2577,970
fluent_tracking_19_true_false_answer_question_1,2679,5
fluent_tracking_19_true_false_answer_question_2,2688,5
fluent_tracking_19_true_false_answer_question_3,3418,5
fluent_tracking_19_true_false_answer_question_4,9617,5
fluent_tracking_19_free_answer_question_5,2718,69
fluent_tracking_19_free_answer_question_6,2741,970
state_tracking_1_true_false_answer_question_1,2834,5
state_tracking_1_true_false_answer_question_2,8864,5
state_tracking_1_free_answer_question_3,1992,742
state_tracking_1_free_answer_question_4,2015,6841
state_tracking_5_true_false_answer_question_1,2998,5
state_tracking_5_true_false_answer_question_2,8983,5
state_tracking_5_free_answer_question_3,2149,742
state_tracking_5_free_answer_question_4,2172,6841
state_tracking_10_true_false_answer_question_1,3206,5
state_tracking_10_true_false_answer_question_2,9189,5
state_tracking_10_free_answer_question_3,2342,742
state_tracking_10_free_answer_question_4,2365,6841
state_tracking_15_true_false_answer_question_1,3350,5
state_tracking_15_true_false_answer_question_2,9409,5
state_tracking_15_free_answer_question_3,2531,737
state_tracking_15_free_answer_question_4,2554,6846
state_tracking_19_true_false_answer_question_1,3396,5
state_tracking_19_true_false_answer_question_2,9627,5
state_tracking_19_free_answer_question_3,2695,673
state_tracking_19_free_answer_question_4,2718,6926
action_executability_1_true_false_answer_question_1,1944,5
action_executability_1_true_false_answer_question_2,2025,5
action_executability_1_free_answer_question_3,1981,37
action_executability_1_free_answer_question_4,1983,18492
action_executability_1_free_answer_question_5,2004,44
action_executability_5_true_false_answer_question_1,2103,5
action_executability_5_true_false_answer_question_2,2177,5
action_executability_5_free_answer_question_3,2138,78
action_executability_5_free_answer_question_4,2140,18454
action_executability_5_free_answer_question_5,2156,44
action_executability_10_true_false_answer_question_1,2296,5
action_executability_10_true_false_answer_question_2,2372,5
action_executability_10_free_answer_question_3,2331,78
action_executability_10_free_answer_question_4,2333,18454
action_executability_10_free_answer_question_5,2349,44
action_executability_15_true_false_answer_question_1,2486,5
action_executability_15_true_false_answer_question_2,2561,5
action_executability_15_free_answer_question_3,2520,1026
