,question_len,answer_len
object_tracking_1_true_false_answer_question_1,2378,5
object_tracking_1_true_false_answer_question_2,2567,5
object_tracking_5_true_false_answer_question_1,2780,5
object_tracking_5_true_false_answer_question_2,3402,5
object_tracking_10_true_false_answer_question_1,3082,5
object_tracking_10_true_false_answer_question_2,3120,5
object_tracking_15_true_false_answer_question_1,3532,5
object_tracking_15_true_false_answer_question_2,3967,5
object_tracking_19_true_false_answer_question_1,3873,5
object_tracking_19_true_false_answer_question_2,4414,4
fluent_tracking_1_true_false_answer_question_1,2378,5
fluent_tracking_1_true_false_answer_question_2,2386,5
fluent_tracking_1_true_false_answer_question_3,3287,5
fluent_tracking_1_true_false_answer_question_4,6813,5
fluent_tracking_1_free_answer_question_5,2399,57
fluent_tracking_1_free_answer_question_6,2422,791
fluent_tracking_5_true_false_answer_question_1,2697,5
fluent_tracking_5_true_false_answer_question_2,2705,5
fluent_tracking_5_true_false_answer_question_3,3606,5
fluent_tracking_5_true_false_answer_question_4,7132,5
fluent_tracking_5_free_answer_question_5,2718,81
fluent_tracking_5_free_answer_question_6,2741,537
fluent_tracking_10_true_false_answer_question_1,3093,5
fluent_tracking_10_true_false_answer_question_2,3101,4
fluent_tracking_10_true_false_answer_question_3,3965,5
fluent_tracking_10_true_false_answer_question_4,7528,5
fluent_tracking_10_free_answer_question_5,3115,38
fluent_tracking_10_free_answer_question_6,3137,743
fluent_tracking_15_true_false_answer_question_1,3489,4
fluent_tracking_15_true_false_answer_question_2,3497,5
fluent_tracking_15_true_false_answer_question_3,4393,5
fluent_tracking_15_true_false_answer_question_4,7923,5
fluent_tracking_15_free_answer_question_5,3510,56
fluent_tracking_15_free_answer_question_6,3533,64
fluent_tracking_19_true_false_answer_question_1,3805,5
fluent_tracking_19_true_false_answer_question_2,3813,5
fluent_tracking_19_true_false_answer_question_3,4725,5
fluent_tracking_19_true_false_answer_question_4,8239,5
fluent_tracking_19_free_answer_question_5,3826,106
fluent_tracking_19_free_answer_question_6,3850,743
state_tracking_1_true_false_answer_question_1,3280,5
state_tracking_1_true_false_answer_question_2,6823,5
state_tracking_1_free_answer_question_3,2383,844
state_tracking_1_free_answer_question_4,2406,4434
