,question_len,total_question_len
object_tracking_1_true_false_answer_question_1,18386.0,
object_tracking_1_true_false_answer_question_2,20614.0,
object_tracking_5_true_false_answer_question_1,20197.0,
object_tracking_5_true_false_answer_question_2,22299.0,
object_tracking_10_true_false_answer_question_1,23593.0,
object_tracking_10_true_false_answer_question_2,25108.0,
object_tracking_15_true_false_answer_question_1,25887.0,
object_tracking_15_true_false_answer_question_2,28140.0,
object_tracking_19_true_false_answer_question_1,28482.0,
object_tracking_19_true_false_answer_question_2,30157.0,
fluent_tracking_1_true_false_answer_question_1,17770.0,
fluent_tracking_1_true_false_answer_question_2,17749.0,
fluent_tracking_1_true_false_answer_question_3,31608.0,
fluent_tracking_1_true_false_answer_question_4,67815.0,
fluent_tracking_1_free_answer_question_5,19788.0,
fluent_tracking_1_free_answer_question_6,22987.0,
fluent_tracking_5_true_false_answer_question_1,19971.0,
fluent_tracking_5_true_false_answer_question_2,19994.0,
fluent_tracking_5_true_false_answer_question_3,33802.0,
fluent_tracking_5_true_false_answer_question_4,70449.0,
fluent_tracking_5_free_answer_question_5,21685.0,
fluent_tracking_5_free_answer_question_6,26007.0,
fluent_tracking_10_true_false_answer_question_1,22677.0,
fluent_tracking_10_true_false_answer_question_2,22753.0,
fluent_tracking_10_true_false_answer_question_3,36666.0,
fluent_tracking_10_true_false_answer_question_4,72869.0,
fluent_tracking_10_free_answer_question_5,24565.0,
fluent_tracking_10_free_answer_question_6,27877.0,
fluent_tracking_15_true_false_answer_question_1,25358.0,
fluent_tracking_15_true_false_answer_question_2,25432.0,
fluent_tracking_15_true_false_answer_question_3,39347.0,
fluent_tracking_15_true_false_answer_question_4,75769.0,
fluent_tracking_15_free_answer_question_5,27266.0,
fluent_tracking_15_free_answer_question_6,30989.0,
fluent_tracking_19_true_false_answer_question_1,27480.0,
fluent_tracking_19_true_false_answer_question_2,27559.0,
fluent_tracking_19_true_false_answer_question_3,41484.0,
fluent_tracking_19_true_false_answer_question_4,77608.0,
fluent_tracking_19_free_answer_question_5,30299.0,
fluent_tracking_19_free_answer_question_6,33357.0,
state_tracking_1_true_false_answer_question_1,31708.0,
state_tracking_1_true_false_answer_question_2,68366.0,
state_tracking_1_free_answer_question_3,30618.0,
state_tracking_1_free_answer_question_4,62735.0,
state_tracking_5_true_false_answer_question_1,33853.0,
state_tracking_5_true_false_answer_question_2,70380.0,
state_tracking_5_free_answer_question_3,32808.0,
state_tracking_5_free_answer_question_4,64925.0,
state_tracking_10_true_false_answer_question_1,36654.0,
state_tracking_10_true_false_answer_question_2,72980.0,
