,question_len,total_question_len
object_tracking_1_true_false_answer_question_1,13037.0,
object_tracking_1_true_false_answer_question_2,14685.0,
object_tracking_5_true_false_answer_question_1,16372.0,
object_tracking_5_true_false_answer_question_2,18135.0,
object_tracking_10_true_false_answer_question_1,19902.0,
object_tracking_10_true_false_answer_question_2,20457.0,
object_tracking_15_true_false_answer_question_1,23930.0,
object_tracking_15_true_false_answer_question_2,27424.0,
object_tracking_19_true_false_answer_question_1,27123.0,
object_tracking_19_true_false_answer_question_2,29046.0,
fluent_tracking_1_true_false_answer_question_1,12764.0,
fluent_tracking_1_true_false_answer_question_2,12807.0,
fluent_tracking_1_true_false_answer_question_3,21194.0,
fluent_tracking_1_true_false_answer_question_4,52101.0,
fluent_tracking_1_free_answer_question_5,13342.0,
fluent_tracking_1_free_answer_question_6,16600.0,
fluent_tracking_5_true_false_answer_question_1,15957.0,
fluent_tracking_5_true_false_answer_question_2,15980.0,
fluent_tracking_5_true_false_answer_question_3,24410.0,
fluent_tracking_5_true_false_answer_question_4,55283.0,
fluent_tracking_5_free_answer_question_5,16569.0,
fluent_tracking_5_free_answer_question_6,20083.0,
fluent_tracking_10_true_false_answer_question_1,19876.0,
fluent_tracking_10_true_false_answer_question_2,19895.0,
fluent_tracking_10_true_false_answer_question_3,28282.0,
fluent_tracking_10_true_false_answer_question_4,59013.0,
fluent_tracking_10_free_answer_question_5,20500.0,
fluent_tracking_10_free_answer_question_6,23153.0,
fluent_tracking_15_true_false_answer_question_1,23787.0,
fluent_tracking_15_true_false_answer_question_2,23866.0,
fluent_tracking_15_true_false_answer_question_3,32269.0,
fluent_tracking_15_true_false_answer_question_4,63129.0,
fluent_tracking_15_free_answer_question_5,24940.0,
fluent_tracking_15_free_answer_question_6,27832.0,
fluent_tracking_19_true_false_answer_question_1,26932.0,
fluent_tracking_19_true_false_answer_question_2,26982.0,
fluent_tracking_19_true_false_answer_question_3,35417.0,
fluent_tracking_19_true_false_answer_question_4,66275.0,
fluent_tracking_19_free_answer_question_5,27952.0,
fluent_tracking_19_free_answer_question_6,31650.0,
state_tracking_1_true_false_answer_question_1,21293.0,
state_tracking_1_true_false_answer_question_2,52217.0,
state_tracking_1_free_answer_question_3,20237.0,
state_tracking_1_free_answer_question_4,48043.0,
state_tracking_5_true_false_answer_question_1,24425.0,
state_tracking_5_true_false_answer_question_2,55309.0,
state_tracking_5_free_answer_question_3,23410.0,
state_tracking_5_free_answer_question_4,51222.0,
state_tracking_10_true_false_answer_question_1,28365.0,
state_tracking_10_true_false_answer_question_2,59284.0,
state_tracking_10_free_answer_question_3,27336.0,
state_tracking_10_free_answer_question_4,55152.0,
state_tracking_15_true_false_answer_question_1,32362.0,
state_tracking_15_true_false_answer_question_2,63030.0,
state_tracking_15_free_answer_question_3,31279.0,
state_tracking_15_free_answer_question_4,59091.0,
state_tracking_19_true_false_answer_question_1,35483.0,
state_tracking_19_true_false_answer_question_2,66316.0,
state_tracking_19_free_answer_question_3,34417.0,
state_tracking_19_free_answer_question_4,62233.0,
action_executability_1_true_false_answer_question_1,12349.0,
action_executability_1_true_false_answer_question_2,13396.0,
action_executability_1_free_answer_question_3,19267.0,
action_executability_1_free_answer_question_4,313631.0,
action_executability_1_free_answer_question_5,13082.0,
action_executability_5_true_false_answer_question_1,15533.0,
action_executability_5_true_false_answer_question_2,16565.0,
action_executability_5_free_answer_question_3,21619.0,
action_executability_5_free_answer_question_4,317631.0,
action_executability_5_free_answer_question_5,16340.0,
action_executability_10_true_false_answer_question_1,19447.0,
action_executability_10_true_false_answer_question_2,20511.0,
action_executability_10_free_answer_question_3,24490.0,
action_executability_10_free_answer_question_4,322616.0,
action_executability_10_free_answer_question_5,20247.0,
action_executability_15_true_false_answer_question_1,23384.0,
action_executability_15_true_false_answer_question_2,24465.0,
action_executability_15_free_answer_question_3,29866.0,
action_executability_15_free_answer_question_4,325122.0,
action_executability_15_free_answer_question_5,24119.0,
action_executability_19_true_false_answer_question_1,26532.0,
action_executability_19_true_false_answer_question_2,27594.0,
action_executability_19_free_answer_question_3,31246.0,
action_executability_19_free_answer_question_4,330022.0,
action_executability_19_free_answer_question_5,27477.0,
effects_1_true_false_answer_question_1,13846.0,
effects_1_true_false_answer_question_2,14057.0,
effects_1_free_answer_question_3,21197.0,
effects_1_free_answer_question_4,49015.0,
effects_5_true_false_answer_question_1,17050.0,
effects_5_true_false_answer_question_2,17164.0,
effects_5_free_answer_question_3,24385.0,
effects_5_free_answer_question_4,52197.0,
effects_10_true_false_answer_question_1,20959.0,
effects_10_true_false_answer_question_2,21147.0,
effects_10_free_answer_question_3,28317.0,
effects_10_free_answer_question_4,56135.0,
effects_15_true_false_answer_question_1,24902.0,
effects_15_true_false_answer_question_2,25116.0,
effects_15_free_answer_question_3,32253.0,
effects_15_free_answer_question_4,60065.0,
effects_19_true_false_answer_question_1,28088.0,
effects_19_true_false_answer_question_2,28211.0,
effects_19_free_answer_question_3,35407.0,
effects_19_free_answer_question_4,63215.0,
numerical_reasoning_1_true_false_answer_question_1,12688.0,
numerical_reasoning_1_true_false_answer_question_4,12786.0,
numerical_reasoning_1_true_false_answer_question_5,12824.0,
numerical_reasoning_1_true_false_answer_question_6,13056.0,
numerical_reasoning_1_free_answer_question_7,13012.0,
numerical_reasoning_1_free_answer_question_8,13232.0,
numerical_reasoning_1_free_answer_question_9,13466.0,
numerical_reasoning_1_free_answer_question_10,13256.0,
numerical_reasoning_1_free_answer_question_11,13291.0,
numerical_reasoning_1_free_answer_question_13,13928.0,
numerical_reasoning_5_true_false_answer_question_1,15861.0,
numerical_reasoning_5_true_false_answer_question_4,15961.0,
numerical_reasoning_5_true_false_answer_question_5,16001.0,
numerical_reasoning_5_true_false_answer_question_6,16231.0,
numerical_reasoning_5_free_answer_question_7,16188.0,
numerical_reasoning_5_free_answer_question_8,16408.0,
numerical_reasoning_5_free_answer_question_9,16642.0,
numerical_reasoning_5_free_answer_question_10,16432.0,
numerical_reasoning_5_free_answer_question_11,16467.0,
numerical_reasoning_5_free_answer_question_13,17105.0,
numerical_reasoning_10_true_false_answer_question_1,19788.0,
numerical_reasoning_10_true_false_answer_question_4,19890.0,
numerical_reasoning_10_true_false_answer_question_5,19930.0,
numerical_reasoning_10_true_false_answer_question_6,20166.0,
numerical_reasoning_10_free_answer_question_7,20116.0,
numerical_reasoning_10_free_answer_question_8,20336.0,
numerical_reasoning_10_free_answer_question_9,20570.0,
numerical_reasoning_10_free_answer_question_10,20359.0,
numerical_reasoning_10_free_answer_question_11,20395.0,
numerical_reasoning_10_free_answer_question_13,21034.0,
numerical_reasoning_15_true_false_answer_question_1,23730.0,
numerical_reasoning_15_true_false_answer_question_4,23834.0,
numerical_reasoning_15_true_false_answer_question_5,23869.0,
numerical_reasoning_15_true_false_answer_question_6,24110.0,
numerical_reasoning_15_free_answer_question_7,24057.0,
numerical_reasoning_15_free_answer_question_8,24277.0,
numerical_reasoning_15_free_answer_question_9,24511.0,
numerical_reasoning_15_free_answer_question_10,24302.0,
numerical_reasoning_15_free_answer_question_11,24336.0,
numerical_reasoning_15_free_answer_question_13,24972.0,
numerical_reasoning_19_true_false_answer_question_1,26872.0,
numerical_reasoning_19_true_false_answer_question_4,26971.0,
numerical_reasoning_19_true_false_answer_question_5,27010.0,
numerical_reasoning_19_true_false_answer_question_6,27249.0,
numerical_reasoning_19_free_answer_question_7,27197.0,
numerical_reasoning_19_free_answer_question_8,27417.0,
numerical_reasoning_19_free_answer_question_9,27651.0,
numerical_reasoning_19_free_answer_question_10,27439.0,
numerical_reasoning_19_free_answer_question_11,27476.0,
numerical_reasoning_19_free_answer_question_13,28114.0,
hallucination_1_true_false_answer_question_1,13069.0,
hallucination_1_true_false_answer_question_2,13319.0,
hallucination_1_true_false_answer_question_3,13394.0,
hallucination_1_true_false_answer_question_4,13993.0,
hallucination_1_true_false_answer_question_5,14059.0,
hallucination_1_free_answer_question_6,13857.0,
hallucination_1_free_answer_question_7,18361.0,
hallucination_1_free_answer_question_8,39000.0,
hallucination_5_true_false_answer_question_1,16241.0,
hallucination_5_true_false_answer_question_2,16472.0,
hallucination_5_true_false_answer_question_3,16551.0,
hallucination_5_true_false_answer_question_4,17218.0,
hallucination_5_true_false_answer_question_5,17135.0,
hallucination_5_free_answer_question_6,17049.0,
hallucination_5_free_answer_question_7,20815.0,
hallucination_5_free_answer_question_8,41457.0,
hallucination_10_true_false_answer_question_1,20172.0,
hallucination_10_true_false_answer_question_2,20424.0,
hallucination_10_true_false_answer_question_3,20477.0,
hallucination_10_true_false_answer_question_4,21128.0,
hallucination_10_true_false_answer_question_5,21120.0,
hallucination_10_free_answer_question_6,21137.0,
hallucination_10_free_answer_question_7,24412.0,
hallucination_10_free_answer_question_8,48494.0,
hallucination_15_true_false_answer_question_1,24112.0,
hallucination_15_true_false_answer_question_2,24387.0,
hallucination_15_true_false_answer_question_3,24459.0,
hallucination_15_true_false_answer_question_4,24979.0,
hallucination_15_true_false_answer_question_5,25020.0,
hallucination_15_free_answer_question_6,24915.0,
hallucination_15_free_answer_question_7,28225.0,
hallucination_15_free_answer_question_8,49424.0,
hallucination_19_true_false_answer_question_1,27249.0,
hallucination_19_true_false_answer_question_2,27506.0,
hallucination_19_true_false_answer_question_3,27612.0,
hallucination_19_true_false_answer_question_4,28166.0,
hallucination_19_true_false_answer_question_5,28154.0,
hallucination_19_free_answer_question_6,28113.0,
hallucination_19_free_answer_question_7,33246.0,
hallucination_19_free_answer_question_8,52254.0,
total,,6578720.0
