,question_len,total_question_len
object_tracking_1_true_false_answer_question_1,42152.0,
object_tracking_1_true_false_answer_question_2,47386.0,
object_tracking_5_true_false_answer_question_1,43500.0,
object_tracking_5_true_false_answer_question_2,51847.0,
object_tracking_10_true_false_answer_question_1,46768.0,
object_tracking_10_true_false_answer_question_2,51651.0,
object_tracking_15_true_false_answer_question_1,49199.0,
object_tracking_15_true_false_answer_question_2,56376.0,
object_tracking_19_true_false_answer_question_1,51430.0,
object_tracking_19_true_false_answer_question_2,54234.0,
fluent_tracking_1_true_false_answer_question_1,40523.0,
fluent_tracking_1_true_false_answer_question_2,40500.0,
fluent_tracking_1_true_false_answer_question_3,75708.0,
fluent_tracking_1_true_false_answer_question_4,197141.0,
fluent_tracking_1_free_answer_question_5,44015.0,
fluent_tracking_1_free_answer_question_6,55313.0,
fluent_tracking_5_true_false_answer_question_1,42472.0,
fluent_tracking_5_true_false_answer_question_2,42334.0,
fluent_tracking_5_true_false_answer_question_3,77338.0,
fluent_tracking_5_true_false_answer_question_4,198877.0,
fluent_tracking_5_free_answer_question_5,46461.0,
fluent_tracking_5_free_answer_question_6,57620.0,
fluent_tracking_10_true_false_answer_question_1,45132.0,
fluent_tracking_10_true_false_answer_question_2,45013.0,
fluent_tracking_10_true_false_answer_question_3,79919.0,
fluent_tracking_10_true_false_answer_question_4,201634.0,
fluent_tracking_10_free_answer_question_5,49077.0,
fluent_tracking_10_free_answer_question_6,59835.0,
fluent_tracking_15_true_false_answer_question_1,47404.0,
fluent_tracking_15_true_false_answer_question_2,47362.0,
fluent_tracking_15_true_false_answer_question_3,82491.0,
fluent_tracking_15_true_false_answer_question_4,203811.0,
fluent_tracking_15_free_answer_question_5,50754.0,
fluent_tracking_15_free_answer_question_6,62210.0,
fluent_tracking_19_true_false_answer_question_1,49510.0,
fluent_tracking_19_true_false_answer_question_2,49492.0,
fluent_tracking_19_true_false_answer_question_3,84137.0,
fluent_tracking_19_true_false_answer_question_4,206044.0,
fluent_tracking_19_free_answer_question_5,53505.0,
fluent_tracking_19_free_answer_question_6,64650.0,
state_tracking_1_true_false_answer_question_1,75871.0,
state_tracking_1_true_false_answer_question_2,196655.0,
state_tracking_1_free_answer_question_3,70947.0,
state_tracking_1_free_answer_question_4,171533.0,
state_tracking_5_true_false_answer_question_1,77338.0,
state_tracking_5_true_false_answer_question_2,199355.0,
state_tracking_5_free_answer_question_3,72615.0,
state_tracking_5_free_answer_question_4,173781.0,
state_tracking_10_true_false_answer_question_1,79262.0,
state_tracking_10_true_false_answer_question_2,201905.0,
state_tracking_10_free_answer_question_3,75108.0,
state_tracking_10_free_answer_question_4,176512.0,
state_tracking_15_true_false_answer_question_1,82535.0,
state_tracking_15_true_false_answer_question_2,204282.0,
state_tracking_15_free_answer_question_3,77658.0,
state_tracking_15_free_answer_question_4,178566.0,
state_tracking_19_true_false_answer_question_1,84807.0,
state_tracking_19_true_false_answer_question_2,205915.0,
state_tracking_19_free_answer_question_3,79713.0,
state_tracking_19_free_answer_question_4,180747.0,
action_executability_1_true_false_answer_question_1,39863.0,
action_executability_1_true_false_answer_question_2,40702.0,
action_executability_1_free_answer_question_3,41492.0,
action_executability_1_free_answer_question_4,382087.0,
