,question_len,answer_len
object_tracking_1_true_false_answer_question_1,1961,5
object_tracking_1_true_false_answer_question_2,2136,5
object_tracking_5_true_false_answer_question_1,2198,5
object_tracking_5_true_false_answer_question_2,2406,5
object_tracking_10_true_false_answer_question_1,2471,5
object_tracking_10_true_false_answer_question_2,2645,5
object_tracking_15_true_false_answer_question_1,2782,5
object_tracking_15_true_false_answer_question_2,2924,5
object_tracking_19_true_false_answer_question_1,3000,5
object_tracking_19_true_false_answer_question_2,3214,4
fluent_tracking_1_true_false_answer_question_1,1961,5
fluent_tracking_1_true_false_answer_question_2,1965,5
fluent_tracking_1_true_false_answer_question_3,2413,5
fluent_tracking_1_true_false_answer_question_4,4356,5
fluent_tracking_1_free_answer_question_5,1994,119
fluent_tracking_1_free_answer_question_6,2015,336
fluent_tracking_5_true_false_answer_question_1,2198,4
fluent_tracking_5_true_false_answer_question_2,2201,4
fluent_tracking_5_true_false_answer_question_3,2655,5
fluent_tracking_5_true_false_answer_question_4,4593,5
fluent_tracking_5_free_answer_question_5,2231,119
fluent_tracking_5_free_answer_question_6,2254,339
fluent_tracking_10_true_false_answer_question_1,2471,5
fluent_tracking_10_true_false_answer_question_2,2475,5
fluent_tracking_10_true_false_answer_question_3,2929,5
fluent_tracking_10_true_false_answer_question_4,4866,5
fluent_tracking_10_free_answer_question_5,2504,179
fluent_tracking_10_free_answer_question_6,2527,339
fluent_tracking_15_true_false_answer_question_1,2748,5
fluent_tracking_15_true_false_answer_question_2,2752,5
fluent_tracking_15_true_false_answer_question_3,3205,5
fluent_tracking_15_true_false_answer_question_4,5146,5
fluent_tracking_15_free_answer_question_5,2782,119
fluent_tracking_15_free_answer_question_6,2805,339
fluent_tracking_19_true_false_answer_question_1,2971,5
fluent_tracking_19_true_false_answer_question_2,2975,5
fluent_tracking_19_true_false_answer_question_3,3429,5
fluent_tracking_19_true_false_answer_question_4,5369,5
fluent_tracking_19_free_answer_question_5,3004,89
fluent_tracking_19_free_answer_question_6,3027,339
state_tracking_1_true_false_answer_question_1,2428,5
state_tracking_1_true_false_answer_question_2,4366,5
state_tracking_1_free_answer_question_3,1976,438
state_tracking_1_free_answer_question_4,1999,2384
state_tracking_5_true_false_answer_question_1,2659,5
state_tracking_5_true_false_answer_question_2,4602,5
state_tracking_5_free_answer_question_3,2213,438
state_tracking_5_free_answer_question_4,2236,2384
state_tracking_10_true_false_answer_question_1,2936,5
