,question_len,total_question_len
object_tracking_1_true_false_answer_question_1,29888.0,
object_tracking_1_true_false_answer_question_2,39429.0,
object_tracking_5_true_false_answer_question_1,31829.0,
object_tracking_5_true_false_answer_question_2,37495.0,
object_tracking_10_true_false_answer_question_1,33276.0,
object_tracking_10_true_false_answer_question_2,39463.0,
object_tracking_15_true_false_answer_question_1,34605.0,
object_tracking_15_true_false_answer_question_2,42937.0,
object_tracking_19_true_false_answer_question_1,36369.0,
object_tracking_19_true_false_answer_question_2,43848.0,
fluent_tracking_1_true_false_answer_question_1,28978.0,
fluent_tracking_1_true_false_answer_question_2,29019.0,
fluent_tracking_1_true_false_answer_question_3,54950.0,
fluent_tracking_1_true_false_answer_question_4,241160.0,
fluent_tracking_1_free_answer_question_5,31403.0,
fluent_tracking_1_free_answer_question_6,45108.0,
fluent_tracking_5_true_false_answer_question_1,30412.0,
fluent_tracking_5_true_false_answer_question_2,30449.0,
fluent_tracking_5_true_false_answer_question_3,57398.0,
fluent_tracking_5_true_false_answer_question_4,241367.0,
fluent_tracking_5_free_answer_question_5,32751.0,
fluent_tracking_5_free_answer_question_6,46268.0,
fluent_tracking_10_true_false_answer_question_1,32144.0,
fluent_tracking_10_true_false_answer_question_2,32197.0,
fluent_tracking_10_true_false_answer_question_3,60346.0,
fluent_tracking_10_true_false_answer_question_4,241806.0,
fluent_tracking_10_free_answer_question_5,34568.0,
fluent_tracking_10_free_answer_question_6,47744.0,
fluent_tracking_15_true_false_answer_question_1,33910.0,
fluent_tracking_15_true_false_answer_question_2,33932.0,
fluent_tracking_15_true_false_answer_question_3,63251.0,
fluent_tracking_15_true_false_answer_question_4,242234.0,
fluent_tracking_15_free_answer_question_5,35925.0,
fluent_tracking_15_free_answer_question_6,49852.0,
fluent_tracking_19_true_false_answer_question_1,35250.0,
fluent_tracking_19_true_false_answer_question_2,35334.0,
fluent_tracking_19_true_false_answer_question_3,65512.0,
fluent_tracking_19_true_false_answer_question_4,242742.0,
fluent_tracking_19_free_answer_question_5,37643.0,
fluent_tracking_19_free_answer_question_6,50950.0,
state_tracking_1_true_false_answer_question_1,55103.0,
state_tracking_1_true_false_answer_question_2,241144.0,
state_tracking_1_free_answer_question_3,52718.0,
state_tracking_1_free_answer_question_4,225420.0,
state_tracking_5_true_false_answer_question_1,57354.0,
state_tracking_5_true_false_answer_question_2,241449.0,
state_tracking_5_free_answer_question_3,54918.0,
state_tracking_5_free_answer_question_4,225940.0,
state_tracking_10_true_false_answer_question_1,60449.0,
state_tracking_10_true_false_answer_question_2,241902.0,
state_tracking_10_free_answer_question_3,57526.0,
state_tracking_10_free_answer_question_4,226676.0,
state_tracking_15_true_false_answer_question_1,63449.0,
state_tracking_15_true_false_answer_question_2,242142.0,
state_tracking_15_free_answer_question_3,60244.0,
state_tracking_15_free_answer_question_4,227282.0,
state_tracking_19_true_false_answer_question_1,65709.0,
state_tracking_19_true_false_answer_question_2,242274.0,
state_tracking_19_free_answer_question_3,62436.0,
state_tracking_19_free_answer_question_4,227746.0,
action_executability_1_true_false_answer_question_1,28528.0,
action_executability_1_true_false_answer_question_2,29158.0,
action_executability_1_free_answer_question_3,29754.0,
action_executability_1_free_answer_question_4,208137.0,
action_executability_1_free_answer_question_5,29199.0,
action_executability_5_true_false_answer_question_1,29959.0,
action_executability_5_true_false_answer_question_2,30587.0,
action_executability_5_free_answer_question_3,31187.0,
action_executability_5_free_answer_question_4,209567.0,
action_executability_5_free_answer_question_5,30600.0,
action_executability_10_true_false_answer_question_1,31710.0,
action_executability_10_true_false_answer_question_2,32354.0,
action_executability_10_free_answer_question_3,33147.0,
action_executability_10_free_answer_question_4,211107.0,
action_executability_10_free_answer_question_5,32408.0,
action_executability_15_true_false_answer_question_1,33460.0,
action_executability_15_true_false_answer_question_2,34101.0,
action_executability_15_free_answer_question_3,34862.0,
action_executability_15_free_answer_question_4,212892.0,
action_executability_15_free_answer_question_5,34100.0,
action_executability_19_true_false_answer_question_1,34860.0,
action_executability_19_true_false_answer_question_2,35506.0,
action_executability_19_free_answer_question_3,36192.0,
action_executability_19_free_answer_question_4,214362.0,
action_executability_19_free_answer_question_5,35500.0,
effects_1_true_false_answer_question_1,29519.0,
effects_1_true_false_answer_question_2,29374.0,
effects_1_free_answer_question_3,53434.0,
effects_1_free_answer_question_4,225752.0,
effects_5_true_false_answer_question_1,30951.0,
effects_5_true_false_answer_question_2,30804.0,
effects_5_free_answer_question_3,55612.0,
effects_5_free_answer_question_4,226298.0,
effects_10_true_false_answer_question_1,32767.0,
effects_10_true_false_answer_question_2,32583.0,
effects_10_free_answer_question_3,58264.0,
effects_10_free_answer_question_4,226982.0,
effects_15_true_false_answer_question_1,34486.0,
effects_15_true_false_answer_question_2,34303.0,
effects_15_free_answer_question_3,60982.0,
effects_15_free_answer_question_4,227588.0,
effects_19_true_false_answer_question_1,35915.0,
effects_19_true_false_answer_question_2,35733.0,
effects_19_free_answer_question_3,63174.0,
effects_19_free_answer_question_4,228052.0,
numerical_reasoning_1_true_false_answer_question_1,28878.0,
numerical_reasoning_1_true_false_answer_question_4,28981.0,
numerical_reasoning_1_true_false_answer_question_5,29019.0,
numerical_reasoning_1_true_false_answer_question_6,29250.0,
numerical_reasoning_1_free_answer_question_7,29206.0,
numerical_reasoning_1_free_answer_question_8,29426.0,
numerical_reasoning_1_free_answer_question_9,29665.0,
numerical_reasoning_1_free_answer_question_10,29447.0,
numerical_reasoning_1_free_answer_question_11,29485.0,
numerical_reasoning_1_free_answer_question_13,30107.0,
numerical_reasoning_5_true_false_answer_question_1,30307.0,
numerical_reasoning_5_true_false_answer_question_4,30410.0,
numerical_reasoning_5_true_false_answer_question_5,30448.0,
numerical_reasoning_5_true_false_answer_question_6,30680.0,
numerical_reasoning_5_free_answer_question_7,30636.0,
numerical_reasoning_5_free_answer_question_8,30856.0,
numerical_reasoning_5_free_answer_question_9,31095.0,
numerical_reasoning_5_free_answer_question_10,30877.0,
numerical_reasoning_5_free_answer_question_11,30915.0,
numerical_reasoning_5_free_answer_question_13,31537.0,
numerical_reasoning_10_true_false_answer_question_1,32058.0,
numerical_reasoning_10_true_false_answer_question_4,32158.0,
numerical_reasoning_10_true_false_answer_question_5,32198.0,
numerical_reasoning_10_true_false_answer_question_6,32438.0,
numerical_reasoning_10_free_answer_question_7,32386.0,
numerical_reasoning_10_free_answer_question_8,32606.0,
numerical_reasoning_10_free_answer_question_9,32845.0,
numerical_reasoning_10_free_answer_question_10,32627.0,
numerical_reasoning_10_free_answer_question_11,32665.0,
numerical_reasoning_10_free_answer_question_13,33287.0,
numerical_reasoning_15_true_false_answer_question_1,33809.0,
numerical_reasoning_15_true_false_answer_question_4,33908.0,
numerical_reasoning_15_true_false_answer_question_5,33949.0,
numerical_reasoning_15_true_false_answer_question_6,34188.0,
numerical_reasoning_15_free_answer_question_7,34136.0,
numerical_reasoning_15_free_answer_question_8,34358.0,
numerical_reasoning_15_free_answer_question_9,34595.0,
numerical_reasoning_15_free_answer_question_10,34377.0,
numerical_reasoning_15_free_answer_question_11,34415.0,
numerical_reasoning_15_free_answer_question_13,35039.0,
numerical_reasoning_19_true_false_answer_question_1,35208.0,
numerical_reasoning_19_true_false_answer_question_4,35309.0,
numerical_reasoning_19_true_false_answer_question_5,35348.0,
numerical_reasoning_19_true_false_answer_question_6,35590.0,
numerical_reasoning_19_free_answer_question_7,35536.0,
numerical_reasoning_19_free_answer_question_8,35758.0,
numerical_reasoning_19_free_answer_question_9,35995.0,
numerical_reasoning_19_free_answer_question_10,35777.0,
numerical_reasoning_19_free_answer_question_11,35815.0,
numerical_reasoning_19_free_answer_question_13,36442.0,
hallucination_1_true_false_answer_question_1,29324.0,
hallucination_1_true_false_answer_question_2,29534.0,
hallucination_1_true_false_answer_question_3,29556.0,
hallucination_1_true_false_answer_question_4,29804.0,
hallucination_1_true_false_answer_question_5,29824.0,
hallucination_1_free_answer_question_6,31226.0,
hallucination_1_free_answer_question_7,43012.0,
hallucination_1_free_answer_question_8,126949.0,
hallucination_5_true_false_answer_question_1,30754.0,
hallucination_5_true_false_answer_question_2,30964.0,
hallucination_5_true_false_answer_question_3,31004.0,
hallucination_5_true_false_answer_question_4,31234.0,
hallucination_5_true_false_answer_question_5,31254.0,
hallucination_5_free_answer_question_6,32401.0,
hallucination_5_free_answer_question_7,43505.0,
hallucination_5_free_answer_question_8,168196.0,
hallucination_10_true_false_answer_question_1,32504.0,
hallucination_10_true_false_answer_question_2,32714.0,
hallucination_10_true_false_answer_question_3,32754.0,
hallucination_10_true_false_answer_question_4,32984.0,
hallucination_10_true_false_answer_question_5,33004.0,
hallucination_10_free_answer_question_6,34344.0,
hallucination_10_free_answer_question_7,47423.0,
hallucination_10_free_answer_question_8,96927.0,
hallucination_15_true_false_answer_question_1,34254.0,
hallucination_15_true_false_answer_question_2,34434.0,
hallucination_15_true_false_answer_question_3,34475.0,
hallucination_15_true_false_answer_question_4,34734.0,
hallucination_15_true_false_answer_question_5,34754.0,
hallucination_15_free_answer_question_6,35717.0,
hallucination_15_free_answer_question_7,46118.0,
hallucination_15_free_answer_question_8,152320.0,
hallucination_19_true_false_answer_question_1,35654.0,
hallucination_19_true_false_answer_question_2,35836.0,
hallucination_19_true_false_answer_question_3,35903.0,
hallucination_19_true_false_answer_question_4,36134.0,
hallucination_19_true_false_answer_question_5,36154.0,
hallucination_19_free_answer_question_6,37248.0,
hallucination_19_free_answer_question_7,44730.0,
hallucination_19_free_answer_question_8,136744.0,
total,,12523882.0
