,question_len,total_question_len
object_tracking_1_true_false_answer_question_1,28153.0,
object_tracking_1_true_false_answer_question_2,33313.0,
object_tracking_5_true_false_answer_question_1,28884.0,
object_tracking_5_true_false_answer_question_2,34081.0,
object_tracking_10_true_false_answer_question_1,31326.0,
object_tracking_10_true_false_answer_question_2,35240.0,
object_tracking_15_true_false_answer_question_1,33498.0,
object_tracking_15_true_false_answer_question_2,35419.0,
object_tracking_19_true_false_answer_question_1,35870.0,
object_tracking_19_true_false_answer_question_2,40476.0,
fluent_tracking_1_true_false_answer_question_1,26109.0,
fluent_tracking_1_true_false_answer_question_2,26053.0,
fluent_tracking_1_true_false_answer_question_3,47494.0,
fluent_tracking_1_true_false_answer_question_4,154524.0,
fluent_tracking_1_free_answer_question_5,27870.0,
fluent_tracking_1_free_answer_question_6,33635.0,
fluent_tracking_5_true_false_answer_question_1,28037.0,
fluent_tracking_5_true_false_answer_question_2,28060.0,
fluent_tracking_5_true_false_answer_question_3,49304.0,
fluent_tracking_5_true_false_answer_question_4,156618.0,
fluent_tracking_5_free_answer_question_5,29367.0,
fluent_tracking_5_free_answer_question_6,38013.0,
fluent_tracking_10_true_false_answer_question_1,30299.0,
fluent_tracking_10_true_false_answer_question_2,30292.0,
fluent_tracking_10_true_false_answer_question_3,51349.0,
fluent_tracking_10_true_false_answer_question_4,159105.0,
fluent_tracking_10_free_answer_question_5,32892.0,
fluent_tracking_10_free_answer_question_6,36867.0,
fluent_tracking_15_true_false_answer_question_1,32692.0,
fluent_tracking_15_true_false_answer_question_2,32719.0,
fluent_tracking_15_true_false_answer_question_3,54011.0,
fluent_tracking_15_true_false_answer_question_4,161510.0,
fluent_tracking_15_free_answer_question_5,34999.0,
fluent_tracking_15_free_answer_question_6,43599.0,
fluent_tracking_19_true_false_answer_question_1,34537.0,
fluent_tracking_19_true_false_answer_question_2,34602.0,
fluent_tracking_19_true_false_answer_question_3,55728.0,
fluent_tracking_19_true_false_answer_question_4,163102.0,
fluent_tracking_19_free_answer_question_5,35887.0,
fluent_tracking_19_free_answer_question_6,44364.0,
state_tracking_1_true_false_answer_question_1,47467.0,
state_tracking_1_true_false_answer_question_2,155059.0,
state_tracking_1_free_answer_question_3,45025.0,
state_tracking_1_free_answer_question_4,141436.0,
state_tracking_5_true_false_answer_question_1,49544.0,
state_tracking_5_true_false_answer_question_2,156985.0,
state_tracking_5_free_answer_question_3,46899.0,
state_tracking_5_free_answer_question_4,143426.0,
state_tracking_10_true_false_answer_question_1,51596.0,
state_tracking_10_true_false_answer_question_2,159145.0,
state_tracking_10_free_answer_question_3,49215.0,
state_tracking_10_free_answer_question_4,145746.0,
state_tracking_15_true_false_answer_question_1,53662.0,
state_tracking_15_true_false_answer_question_2,161652.0,
state_tracking_15_free_answer_question_3,51555.0,
state_tracking_15_free_answer_question_4,148156.0,
state_tracking_19_true_false_answer_question_1,55690.0,
state_tracking_19_true_false_answer_question_2,163404.0,
state_tracking_19_free_answer_question_3,53533.0,
state_tracking_19_free_answer_question_4,149984.0,
action_executability_1_true_false_answer_question_1,25620.0,
action_executability_1_true_false_answer_question_2,26304.0,
action_executability_1_free_answer_question_3,29608.0,
action_executability_1_free_answer_question_4,536996.0,
action_executability_1_free_answer_question_5,26433.0,
action_executability_5_true_false_answer_question_1,27542.0,
action_executability_5_true_false_answer_question_2,28283.0,
action_executability_5_free_answer_question_3,31907.0,
action_executability_5_free_answer_question_4,538553.0,
action_executability_5_free_answer_question_5,28220.0,
action_executability_10_true_false_answer_question_1,29807.0,
action_executability_10_true_false_answer_question_2,30592.0,
action_executability_10_free_answer_question_3,34500.0,
action_executability_10_free_answer_question_4,540600.0,
action_executability_10_free_answer_question_5,30573.0,
action_executability_15_true_false_answer_question_1,32190.0,
action_executability_15_true_false_answer_question_2,32956.0,
action_executability_15_free_answer_question_3,37496.0,
action_executability_15_free_answer_question_4,542342.0,
action_executability_15_free_answer_question_5,32910.0,
action_executability_19_true_false_answer_question_1,34119.0,
action_executability_19_true_false_answer_question_2,34926.0,
action_executability_19_free_answer_question_3,38639.0,
action_executability_19_free_answer_question_4,545017.0,
action_executability_19_free_answer_question_5,34722.0,
effects_1_true_false_answer_question_1,26570.0,
effects_1_true_false_answer_question_2,26609.0,
effects_1_free_answer_question_3,45695.0,
effects_1_free_answer_question_4,142126.0,
effects_5_true_false_answer_question_1,28533.0,
effects_5_true_false_answer_question_2,28530.0,
effects_5_free_answer_question_3,47581.0,
effects_5_free_answer_question_4,144078.0,
effects_10_true_false_answer_question_1,30868.0,
effects_10_true_false_answer_question_2,30828.0,
effects_10_free_answer_question_3,49891.0,
effects_10_free_answer_question_4,146428.0,
effects_15_true_false_answer_question_1,33198.0,
effects_15_true_false_answer_question_2,33219.0,
effects_15_free_answer_question_3,52232.0,
effects_15_free_answer_question_4,148773.0,
effects_19_true_false_answer_question_1,35140.0,
effects_19_true_false_answer_question_2,35206.0,
effects_19_free_answer_question_3,54214.0,
effects_19_free_answer_question_4,150639.0,
numerical_reasoning_1_true_false_answer_question_1,25913.0,
numerical_reasoning_1_true_false_answer_question_4,26013.0,
numerical_reasoning_1_true_false_answer_question_5,26058.0,
numerical_reasoning_1_true_false_answer_question_6,26282.0,
numerical_reasoning_1_free_answer_question_7,26239.0,
numerical_reasoning_1_free_answer_question_8,26459.0,
numerical_reasoning_1_free_answer_question_9,26698.0,
numerical_reasoning_1_free_answer_question_10,26483.0,
numerical_reasoning_1_free_answer_question_11,26522.0,
numerical_reasoning_1_free_answer_question_13,27248.0,
numerical_reasoning_5_true_false_answer_question_1,27836.0,
numerical_reasoning_5_true_false_answer_question_4,27946.0,
numerical_reasoning_5_true_false_answer_question_5,27986.0,
numerical_reasoning_5_true_false_answer_question_6,28211.0,
numerical_reasoning_5_free_answer_question_7,28167.0,
numerical_reasoning_5_free_answer_question_8,28387.0,
numerical_reasoning_5_free_answer_question_9,28626.0,
numerical_reasoning_5_free_answer_question_10,28413.0,
numerical_reasoning_5_free_answer_question_11,28450.0,
numerical_reasoning_5_free_answer_question_13,29111.0,
numerical_reasoning_10_true_false_answer_question_1,30160.0,
numerical_reasoning_10_true_false_answer_question_4,30267.0,
numerical_reasoning_10_true_false_answer_question_5,30306.0,
numerical_reasoning_10_true_false_answer_question_6,30538.0,
numerical_reasoning_10_free_answer_question_7,30487.0,
numerical_reasoning_10_free_answer_question_8,30707.0,
numerical_reasoning_10_free_answer_question_9,30946.0,
numerical_reasoning_10_free_answer_question_10,30735.0,
numerical_reasoning_10_free_answer_question_11,30770.0,
numerical_reasoning_10_free_answer_question_13,31398.0,
numerical_reasoning_15_true_false_answer_question_1,32525.0,
numerical_reasoning_15_true_false_answer_question_4,32633.0,
numerical_reasoning_15_true_false_answer_question_5,32673.0,
numerical_reasoning_15_true_false_answer_question_6,32907.0,
numerical_reasoning_15_free_answer_question_7,32856.0,
numerical_reasoning_15_free_answer_question_8,33076.0,
numerical_reasoning_15_free_answer_question_9,33315.0,
numerical_reasoning_15_free_answer_question_10,33104.0,
numerical_reasoning_15_free_answer_question_11,33139.0,
numerical_reasoning_15_free_answer_question_13,33796.0,
numerical_reasoning_19_true_false_answer_question_1,34437.0,
numerical_reasoning_19_true_false_answer_question_4,34547.0,
numerical_reasoning_19_true_false_answer_question_5,34582.0,
numerical_reasoning_19_true_false_answer_question_6,34818.0,
numerical_reasoning_19_free_answer_question_7,34765.0,
numerical_reasoning_19_free_answer_question_8,34985.0,
numerical_reasoning_19_free_answer_question_9,35224.0,
