,question_len,answer_len
object_tracking_1_true_false_answer_question_1,1166,5
object_tracking_1_true_false_answer_question_2,1177,5
object_tracking_5_true_false_answer_question_1,1279,5
object_tracking_5_true_false_answer_question_2,1423,5
object_tracking_10_true_false_answer_question_1,1492,5
object_tracking_10_true_false_answer_question_2,1694,5
object_tracking_15_true_false_answer_question_1,1730,5
object_tracking_15_true_false_answer_question_2,2232,5
object_tracking_19_true_false_answer_question_1,1899,5
object_tracking_19_true_false_answer_question_2,2141,4
fluent_tracking_1_true_false_answer_question_1,1080,5
fluent_tracking_1_true_false_answer_question_2,1094,5
fluent_tracking_1_true_false_answer_question_3,1329,5
fluent_tracking_1_true_false_answer_question_4,2291,5
fluent_tracking_1_free_answer_question_5,1125,58
fluent_tracking_1_free_answer_question_6,1148,183
fluent_tracking_5_true_false_answer_question_1,1258,5
fluent_tracking_5_true_false_answer_question_2,1261,5
fluent_tracking_5_true_false_answer_question_3,1459,5
fluent_tracking_5_true_false_answer_question_4,2501,5
fluent_tracking_5_free_answer_question_5,1303,103
fluent_tracking_5_free_answer_question_6,1329,259
fluent_tracking_10_true_false_answer_question_1,1504,4
fluent_tracking_10_true_false_answer_question_2,1508,5
fluent_tracking_10_true_false_answer_question_3,1690,5
fluent_tracking_10_true_false_answer_question_4,2712,5
fluent_tracking_10_free_answer_question_5,1531,40
fluent_tracking_10_free_answer_question_6,1551,625
fluent_tracking_15_true_false_answer_question_1,1730,5
fluent_tracking_15_true_false_answer_question_2,1712,4
fluent_tracking_15_true_false_answer_question_3,1920,5
fluent_tracking_15_true_false_answer_question_4,2941,5
fluent_tracking_15_free_answer_question_5,1757,39
fluent_tracking_15_free_answer_question_6,1776,161
fluent_tracking_19_true_false_answer_question_1,1921,5
fluent_tracking_19_true_false_answer_question_2,1903,4
fluent_tracking_19_true_false_answer_question_3,2151,5
fluent_tracking_19_true_false_answer_question_4,3121,5
fluent_tracking_19_free_answer_question_5,1944,17
fluent_tracking_19_free_answer_question_6,1968,625
state_tracking_1_true_false_answer_question_1,1327,5
state_tracking_1_true_false_answer_question_2,2301,5
state_tracking_1_free_answer_question_3,1106,193
state_tracking_1_free_answer_question_4,1129,1189
state_tracking_5_true_false_answer_question_1,1522,5
state_tracking_5_true_false_answer_question_2,2533,5
state_tracking_5_free_answer_question_3,1283,179
state_tracking_5_free_answer_question_4,1306,1211
state_tracking_10_true_false_answer_question_1,1701,5
state_tracking_10_true_false_answer_question_2,2714,5
state_tracking_10_free_answer_question_3,1508,186
state_tracking_10_free_answer_question_4,1531,1200
state_tracking_15_true_false_answer_question_1,1919,5
state_tracking_15_true_false_answer_question_2,2951,5
state_tracking_15_free_answer_question_3,1734,179
state_tracking_15_free_answer_question_4,1757,1211
state_tracking_19_true_false_answer_question_1,2161,5
state_tracking_19_true_false_answer_question_2,3141,5
state_tracking_19_free_answer_question_3,1925,186
state_tracking_19_free_answer_question_4,1948,1200
action_executability_1_true_false_answer_question_1,1072,5
action_executability_1_true_false_answer_question_2,1153,5
action_executability_1_free_answer_question_3,1095,455
action_executability_1_free_answer_question_4,1097,6527
action_executability_1_free_answer_question_5,1125,51
action_executability_5_true_false_answer_question_1,1249,5
action_executability_5_true_false_answer_question_2,1311,5
action_executability_5_free_answer_question_3,1272,241
action_executability_5_free_answer_question_4,1274,6741
action_executability_5_free_answer_question_5,1301,50
action_executability_10_true_false_answer_question_1,1474,5
action_executability_10_true_false_answer_question_2,1556,5
action_executability_10_free_answer_question_3,1497,242
action_executability_10_free_answer_question_4,1499,6740
action_executability_10_free_answer_question_5,1526,50
action_executability_15_true_false_answer_question_1,1700,5
action_executability_15_true_false_answer_question_2,1763,5
action_executability_15_free_answer_question_3,1723,241
action_executability_15_free_answer_question_4,1725,6741
action_executability_15_free_answer_question_5,1753,51
action_executability_19_true_false_answer_question_1,1872,5
action_executability_19_true_false_answer_question_2,1956,5
action_executability_19_free_answer_question_3,1914,295
action_executability_19_free_answer_question_4,1916,6687
action_executability_19_free_answer_question_5,1925,50
effects_1_true_false_answer_question_1,1164,5
effects_1_true_false_answer_question_2,1182,5
effects_1_free_answer_question_3,1178,186
effects_1_free_answer_question_4,1201,1200
effects_5_true_false_answer_question_1,1360,5
effects_5_true_false_answer_question_2,1344,5
effects_5_free_answer_question_3,1354,186
effects_5_free_answer_question_4,1377,1200
effects_10_true_false_answer_question_1,1566,5
effects_10_true_false_answer_question_2,1584,5
effects_10_free_answer_question_3,1580,179
effects_10_free_answer_question_4,1603,1211
effects_15_true_false_answer_question_1,1823,5
effects_15_true_false_answer_question_2,1795,5
effects_15_free_answer_question_3,1805,186
effects_15_free_answer_question_4,1828,1200
effects_19_true_false_answer_question_1,2014,5
effects_19_true_false_answer_question_2,1986,5
effects_19_free_answer_question_3,1996,193
effects_19_free_answer_question_4,2019,1189
numerical_reasoning_1_true_false_answer_question_1,1088,5
numerical_reasoning_1_true_false_answer_question_4,1099,5
numerical_reasoning_1_true_false_answer_question_5,1102,5
numerical_reasoning_1_true_false_answer_question_6,1125,5
numerical_reasoning_1_free_answer_question_7,1123,2
numerical_reasoning_1_free_answer_question_8,1145,1
numerical_reasoning_1_free_answer_question_9,1168,2
numerical_reasoning_1_free_answer_question_10,1148,2
numerical_reasoning_1_free_answer_question_11,1150,3
numerical_reasoning_1_free_answer_question_13,1233,1
numerical_reasoning_5_true_false_answer_question_1,1265,5
numerical_reasoning_5_true_false_answer_question_4,1275,5
numerical_reasoning_5_true_false_answer_question_5,1279,5
numerical_reasoning_5_true_false_answer_question_6,1302,5
numerical_reasoning_5_free_answer_question_7,1300,2
numerical_reasoning_5_free_answer_question_8,1322,1
numerical_reasoning_5_free_answer_question_9,1345,2
numerical_reasoning_5_free_answer_question_10,1325,1
numerical_reasoning_5_free_answer_question_11,1327,3
numerical_reasoning_5_free_answer_question_13,1410,1
numerical_reasoning_10_true_false_answer_question_1,1490,5
numerical_reasoning_10_true_false_answer_question_4,1500,5
numerical_reasoning_10_true_false_answer_question_5,1504,5
numerical_reasoning_10_true_false_answer_question_6,1528,5
numerical_reasoning_10_free_answer_question_7,1525,2
numerical_reasoning_10_free_answer_question_8,1547,1
numerical_reasoning_10_free_answer_question_9,1570,2
numerical_reasoning_10_free_answer_question_10,1550,1
numerical_reasoning_10_free_answer_question_11,1552,3
numerical_reasoning_10_free_answer_question_13,1635,1
numerical_reasoning_15_true_false_answer_question_1,1716,5
numerical_reasoning_15_true_false_answer_question_4,1726,5
numerical_reasoning_15_true_false_answer_question_5,1730,5
numerical_reasoning_15_true_false_answer_question_6,1754,5
numerical_reasoning_15_free_answer_question_7,1751,2
numerical_reasoning_15_free_answer_question_8,1773,1
numerical_reasoning_15_free_answer_question_9,1796,2
numerical_reasoning_15_free_answer_question_10,1776,1
numerical_reasoning_15_free_answer_question_11,1778,3
numerical_reasoning_15_free_answer_question_13,1842,2
numerical_reasoning_19_true_false_answer_question_1,1907,5
numerical_reasoning_19_true_false_answer_question_4,1917,5
numerical_reasoning_19_true_false_answer_question_5,1921,5
numerical_reasoning_19_true_false_answer_question_6,1945,5
numerical_reasoning_19_free_answer_question_7,1942,2
numerical_reasoning_19_free_answer_question_8,1964,1
numerical_reasoning_19_free_answer_question_9,1987,2
numerical_reasoning_19_free_answer_question_10,1967,1
numerical_reasoning_19_free_answer_question_11,1969,3
numerical_reasoning_19_free_answer_question_13,2052,2
hallucination_1_true_false_answer_question_1,1133,5
hallucination_1_true_false_answer_question_2,1148,5
hallucination_1_true_false_answer_question_3,1161,5
hallucination_1_true_false_answer_question_4,1200,5
hallucination_1_true_false_answer_question_5,1202,5
hallucination_1_free_answer_question_6,1251,5
hallucination_1_free_answer_question_7,1312,4
hallucination_1_free_answer_question_8,2047,41
hallucination_5_true_false_answer_question_1,1306,4
hallucination_5_true_false_answer_question_2,1335,5
hallucination_5_true_false_answer_question_3,1329,5
hallucination_5_true_false_answer_question_4,1377,5
hallucination_5_true_false_answer_question_5,1379,5
hallucination_5_free_answer_question_6,1428,5
hallucination_5_free_answer_question_7,1504,29
hallucination_5_free_answer_question_8,2407,42
hallucination_10_true_false_answer_question_1,1535,5
hallucination_10_true_false_answer_question_2,1550,5
hallucination_10_true_false_answer_question_3,1564,5
hallucination_10_true_false_answer_question_4,1602,5
hallucination_10_true_false_answer_question_5,1603,4
hallucination_10_free_answer_question_6,1631,9
hallucination_10_free_answer_question_7,1665,4
hallucination_10_free_answer_question_8,2723,41
hallucination_15_true_false_answer_question_1,1757,5
hallucination_15_true_false_answer_question_2,1776,5
hallucination_15_true_false_answer_question_3,1780,5
