,question_len,total_question_len
object_tracking_1_true_false_answer_question_1,6602.0,
object_tracking_1_true_false_answer_question_2,8248.0,
object_tracking_5_true_false_answer_question_1,7731.0,
object_tracking_5_true_false_answer_question_2,9513.0,
object_tracking_10_true_false_answer_question_1,9102.0,
object_tracking_10_true_false_answer_question_2,11658.0,
object_tracking_15_true_false_answer_question_1,10559.0,
object_tracking_15_true_false_answer_question_2,12817.0,
object_tracking_19_true_false_answer_question_1,11462.0,
object_tracking_19_true_false_answer_question_2,14039.0,
fluent_tracking_1_true_false_answer_question_1,6568.0,
fluent_tracking_1_true_false_answer_question_2,6611.0,
fluent_tracking_1_true_false_answer_question_3,9306.0,
fluent_tracking_1_true_false_answer_question_4,27364.0,
fluent_tracking_1_free_answer_question_5,7339.0,
fluent_tracking_1_free_answer_question_6,11146.0,
fluent_tracking_5_true_false_answer_question_1,7674.0,
fluent_tracking_5_true_false_answer_question_2,7708.0,
fluent_tracking_5_true_false_answer_question_3,10659.0,
fluent_tracking_5_true_false_answer_question_4,28203.0,
fluent_tracking_5_free_answer_question_5,8402.0,
fluent_tracking_5_free_answer_question_6,12245.0,
fluent_tracking_10_true_false_answer_question_1,8999.0,
fluent_tracking_10_true_false_answer_question_2,9044.0,
fluent_tracking_10_true_false_answer_question_3,12377.0,
fluent_tracking_10_true_false_answer_question_4,29150.0,
fluent_tracking_10_free_answer_question_5,9798.0,
fluent_tracking_10_free_answer_question_6,13598.0,
fluent_tracking_15_true_false_answer_question_1,10397.0,
fluent_tracking_15_true_false_answer_question_2,10424.0,
fluent_tracking_15_true_false_answer_question_3,13372.0,
fluent_tracking_15_true_false_answer_question_4,30950.0,
fluent_tracking_15_free_answer_question_5,11137.0,
fluent_tracking_15_free_answer_question_6,14976.0,
fluent_tracking_19_true_false_answer_question_1,11341.0,
fluent_tracking_19_true_false_answer_question_2,11384.0,
fluent_tracking_19_true_false_answer_question_3,14008.0,
fluent_tracking_19_true_false_answer_question_4,32259.0,
fluent_tracking_19_free_answer_question_5,12039.0,
fluent_tracking_19_free_answer_question_6,15925.0,
state_tracking_1_true_false_answer_question_1,9421.0,
state_tracking_1_true_false_answer_question_2,27487.0,
state_tracking_1_free_answer_question_3,9062.0,
state_tracking_1_free_answer_question_4,26083.0,
state_tracking_5_true_false_answer_question_1,10754.0,
state_tracking_5_true_false_answer_question_2,28316.0,
state_tracking_5_free_answer_question_3,10369.0,
state_tracking_5_free_answer_question_4,26950.0,
state_tracking_10_true_false_answer_question_1,12439.0,
state_tracking_10_true_false_answer_question_2,29194.0,
state_tracking_10_free_answer_question_3,11978.0,
state_tracking_10_free_answer_question_4,27971.0,
state_tracking_15_true_false_answer_question_1,13456.0,
state_tracking_15_true_false_answer_question_2,31047.0,
state_tracking_15_free_answer_question_3,13110.0,
state_tracking_15_free_answer_question_4,29647.0,
state_tracking_19_true_false_answer_question_1,14092.0,
state_tracking_19_true_false_answer_question_2,32357.0,
state_tracking_19_free_answer_question_3,13781.0,
state_tracking_19_free_answer_question_4,30934.0,
action_executability_1_true_false_answer_question_1,6234.0,
action_executability_1_true_false_answer_question_2,6826.0,
action_executability_1_free_answer_question_3,7474.0,
action_executability_1_free_answer_question_4,40872.0,
action_executability_1_free_answer_question_5,6900.0,
action_executability_5_true_false_answer_question_1,7350.0,
action_executability_5_true_false_answer_question_2,7889.0,
action_executability_5_free_answer_question_3,8861.0,
action_executability_5_free_answer_question_4,41699.0,
action_executability_5_free_answer_question_5,7928.0,
action_executability_10_true_false_answer_question_1,8715.0,
action_executability_10_true_false_answer_question_2,9301.0,
action_executability_10_free_answer_question_3,10123.0,
action_executability_10_free_answer_question_4,43127.0,
action_executability_10_free_answer_question_5,9295.0,
action_executability_15_true_false_answer_question_1,10075.0,
action_executability_15_true_false_answer_question_2,10709.0,
action_executability_15_free_answer_question_3,11610.0,
action_executability_15_free_answer_question_4,44392.0,
action_executability_15_free_answer_question_5,10727.0,
action_executability_19_true_false_answer_question_1,11019.0,
action_executability_19_true_false_answer_question_2,11594.0,
action_executability_19_free_answer_question_3,12169.0,
action_executability_19_free_answer_question_4,45735.0,
action_executability_19_free_answer_question_5,11660.0,
effects_1_true_false_answer_question_1,7267.0,
effects_1_true_false_answer_question_2,7001.0,
effects_1_free_answer_question_3,9733.0,
effects_1_free_answer_question_4,26166.0,
effects_5_true_false_answer_question_1,8416.0,
effects_5_true_false_answer_question_2,8246.0,
effects_5_free_answer_question_3,10996.0,
effects_5_free_answer_question_4,27165.0,
effects_10_true_false_answer_question_1,9617.0,
effects_10_true_false_answer_question_2,9960.0,
effects_10_free_answer_question_3,12329.0,
effects_10_free_answer_question_4,28646.0,
effects_15_true_false_answer_question_1,11164.0,
effects_15_true_false_answer_question_2,11032.0,
effects_15_free_answer_question_3,13735.0,
effects_15_free_answer_question_4,29904.0,
effects_19_true_false_answer_question_1,12141.0,
effects_19_true_false_answer_question_2,12012.0,
effects_19_free_answer_question_3,14395.0,
effects_19_free_answer_question_4,31224.0,
numerical_reasoning_1_true_false_answer_question_1,6583.0,
numerical_reasoning_1_true_false_answer_question_4,6692.0,
numerical_reasoning_1_true_false_answer_question_5,6731.0,
numerical_reasoning_1_true_false_answer_question_6,6963.0,
numerical_reasoning_1_free_answer_question_7,6911.0,
numerical_reasoning_1_free_answer_question_8,7138.0,
numerical_reasoning_1_free_answer_question_9,7370.0,
numerical_reasoning_1_free_answer_question_10,7161.0,
numerical_reasoning_1_free_answer_question_11,7197.0,
numerical_reasoning_1_free_answer_question_13,7788.0,
numerical_reasoning_5_true_false_answer_question_1,7689.0,
numerical_reasoning_5_true_false_answer_question_4,7798.0,
numerical_reasoning_5_true_false_answer_question_5,7840.0,
numerical_reasoning_5_true_false_answer_question_6,8070.0,
numerical_reasoning_5_free_answer_question_7,8018.0,
numerical_reasoning_5_free_answer_question_8,8247.0,
numerical_reasoning_5_free_answer_question_9,8477.0,
numerical_reasoning_5_free_answer_question_10,8268.0,
numerical_reasoning_5_free_answer_question_11,8304.0,
numerical_reasoning_5_free_answer_question_13,8942.0,
numerical_reasoning_10_true_false_answer_question_1,9037.0,
numerical_reasoning_10_true_false_answer_question_4,9143.0,
numerical_reasoning_10_true_false_answer_question_5,9180.0,
numerical_reasoning_10_true_false_answer_question_6,9424.0,
numerical_reasoning_10_free_answer_question_7,9363.0,
numerical_reasoning_10_free_answer_question_8,9592.0,
numerical_reasoning_10_free_answer_question_9,9822.0,
numerical_reasoning_10_free_answer_question_10,9613.0,
numerical_reasoning_10_free_answer_question_11,9649.0,
numerical_reasoning_10_free_answer_question_13,10279.0,
numerical_reasoning_15_true_false_answer_question_1,10410.0,
