,question_len,answer_len
object_tracking_1_true_false_answer_question_1,2488,5
object_tracking_1_true_false_answer_question_2,3149,5
object_tracking_5_true_false_answer_question_1,2712,5
object_tracking_5_true_false_answer_question_2,3074,5
object_tracking_10_true_false_answer_question_1,2835,5
object_tracking_10_true_false_answer_question_2,3351,5
object_tracking_15_true_false_answer_question_1,3263,5
object_tracking_15_true_false_answer_question_2,3697,5
object_tracking_19_true_false_answer_question_1,3234,4
object_tracking_19_true_false_answer_question_2,3481,5
fluent_tracking_1_true_false_answer_question_1,2452,5
fluent_tracking_1_true_false_answer_question_2,2460,5
fluent_tracking_1_true_false_answer_question_3,3788,5
fluent_tracking_1_true_false_answer_question_4,8687,5
fluent_tracking_1_free_answer_question_5,2480,297
fluent_tracking_1_free_answer_question_6,2503,840
fluent_tracking_5_true_false_answer_question_1,2602,5
fluent_tracking_5_true_false_answer_question_2,2609,5
fluent_tracking_5_true_false_answer_question_3,4009,5
fluent_tracking_5_true_false_answer_question_4,8747,5
fluent_tracking_5_free_answer_question_5,2630,297
fluent_tracking_5_free_answer_question_6,2653,868
fluent_tracking_10_true_false_answer_question_1,2800,5
fluent_tracking_10_true_false_answer_question_2,2799,5
fluent_tracking_10_true_false_answer_question_3,4280,5
fluent_tracking_10_true_false_answer_question_4,8888,5
fluent_tracking_10_free_answer_question_5,2828,299
fluent_tracking_10_free_answer_question_6,2851,840
fluent_tracking_15_true_false_answer_question_1,2995,5
fluent_tracking_15_true_false_answer_question_2,3003,5
fluent_tracking_15_true_false_answer_question_3,4533,5
fluent_tracking_15_true_false_answer_question_4,8996,5
fluent_tracking_15_free_answer_question_5,3023,234
fluent_tracking_15_free_answer_question_6,3046,865
fluent_tracking_19_true_false_answer_question_1,3147,5
fluent_tracking_19_true_false_answer_question_2,3154,5
fluent_tracking_19_true_false_answer_question_3,4743,5
fluent_tracking_19_true_false_answer_question_4,9151,5
fluent_tracking_19_free_answer_question_5,3175,234
fluent_tracking_19_free_answer_question_6,3198,987
state_tracking_1_true_false_answer_question_1,3782,5
state_tracking_1_true_false_answer_question_2,8694,5
state_tracking_1_free_answer_question_3,2464,1285
state_tracking_1_free_answer_question_4,2487,6224
state_tracking_5_true_false_answer_question_1,4016,5
state_tracking_5_true_false_answer_question_2,8757,5
state_tracking_5_free_answer_question_3,2614,1360
state_tracking_5_free_answer_question_4,2637,6137
state_tracking_10_true_false_answer_question_1,4304,5
state_tracking_10_true_false_answer_question_2,8902,5
state_tracking_10_free_answer_question_3,2812,1409
state_tracking_10_free_answer_question_4,2835,6080
state_tracking_15_true_false_answer_question_1,4615,5
state_tracking_15_true_false_answer_question_2,9006,5
state_tracking_15_free_answer_question_3,3007,1484
state_tracking_15_free_answer_question_4,3030,5993
state_tracking_19_true_false_answer_question_1,4764,5
state_tracking_19_true_false_answer_question_2,9161,5
state_tracking_19_free_answer_question_3,3159,1481
state_tracking_19_free_answer_question_4,3182,5996
action_executability_1_true_false_answer_question_1,2428,5
action_executability_1_true_false_answer_question_2,2502,5
action_executability_1_free_answer_question_3,2453,388
action_executability_1_free_answer_question_4,2455,8420
action_executability_1_free_answer_question_5,2481,48
action_executability_5_true_false_answer_question_1,2578,5
action_executability_5_true_false_answer_question_2,2656,5
action_executability_5_free_answer_question_3,2603,324
action_executability_5_free_answer_question_4,2605,8484
action_executability_5_free_answer_question_5,2614,31
action_executability_10_true_false_answer_question_1,2761,5
action_executability_10_true_false_answer_question_2,2851,5
action_executability_10_free_answer_question_3,2801,388
action_executability_10_free_answer_question_4,2803,8420
action_executability_10_free_answer_question_5,2827,46
action_executability_15_true_false_answer_question_1,2971,5
action_executability_15_true_false_answer_question_2,3036,5
action_executability_15_free_answer_question_3,2996,433
action_executability_15_free_answer_question_4,2998,8375
action_executability_15_free_answer_question_5,3009,48
action_executability_19_true_false_answer_question_1,3106,5
action_executability_19_true_false_answer_question_2,3181,5
action_executability_19_free_answer_question_3,3148,397
action_executability_19_free_answer_question_4,3150,8411
action_executability_19_free_answer_question_5,3159,48
effects_1_true_false_answer_question_1,2494,5
effects_1_free_answer_question_3,2516,1310
effects_1_free_answer_question_4,2539,6195
effects_5_true_false_answer_question_1,2658,5
effects_5_true_false_answer_question_2,2658,5
effects_5_free_answer_question_3,2681,1360
effects_5_free_answer_question_4,2704,6137
effects_10_true_false_answer_question_1,2852,5
effects_10_true_false_answer_question_2,2865,5
effects_10_free_answer_question_3,2879,1409
effects_10_free_answer_question_4,2902,6080
effects_15_true_false_answer_question_1,3033,5
effects_15_true_false_answer_question_2,3046,5
effects_15_free_answer_question_3,3060,1483
effects_15_free_answer_question_4,3083,5994
effects_19_true_false_answer_question_1,3190,5
effects_19_true_false_answer_question_2,3197,5
effects_19_free_answer_question_3,3212,1480
effects_19_free_answer_question_4,3235,5997
numerical_reasoning_1_true_false_answer_question_1,2446,5
numerical_reasoning_1_true_false_answer_question_4,2457,5
numerical_reasoning_1_true_false_answer_question_5,2460,5
numerical_reasoning_1_true_false_answer_question_6,2483,5
numerical_reasoning_1_free_answer_question_7,2481,2
numerical_reasoning_1_free_answer_question_8,2503,2
numerical_reasoning_1_free_answer_question_9,2526,3
numerical_reasoning_1_free_answer_question_10,2506,1
numerical_reasoning_1_free_answer_question_11,2508,3
numerical_reasoning_1_free_answer_question_13,2587,1
numerical_reasoning_5_true_false_answer_question_1,2596,5
numerical_reasoning_5_true_false_answer_question_4,2606,5
numerical_reasoning_5_true_false_answer_question_5,2610,5
numerical_reasoning_5_true_false_answer_question_6,2633,5
numerical_reasoning_5_free_answer_question_7,2631,2
numerical_reasoning_5_free_answer_question_8,2653,2
numerical_reasoning_5_free_answer_question_9,2676,3
numerical_reasoning_5_free_answer_question_10,2656,1
numerical_reasoning_5_free_answer_question_11,2658,3
numerical_reasoning_5_free_answer_question_13,2739,1
numerical_reasoning_10_true_false_answer_question_1,2794,5
numerical_reasoning_10_true_false_answer_question_4,2805,5
numerical_reasoning_10_true_false_answer_question_5,2808,5
numerical_reasoning_10_true_false_answer_question_6,2832,5
numerical_reasoning_10_free_answer_question_7,2829,2
numerical_reasoning_10_free_answer_question_8,2851,2
numerical_reasoning_10_free_answer_question_9,2874,3
