,question_len,answer_len
object_tracking_1_true_false_answer_question_1,2697,4
object_tracking_1_true_false_answer_question_2,2946,5
object_tracking_5_true_false_answer_question_1,2862,4
object_tracking_5_true_false_answer_question_2,2953,5
object_tracking_10_true_false_answer_question_1,3123,5
object_tracking_10_true_false_answer_question_2,3691,5
object_tracking_15_true_false_answer_question_1,3388,4
object_tracking_15_true_false_answer_question_2,3579,5
object_tracking_19_true_false_answer_question_1,3608,5
object_tracking_19_true_false_answer_question_2,3735,4
fluent_tracking_1_true_false_answer_question_1,2658,5
fluent_tracking_1_true_false_answer_question_2,2656,5
fluent_tracking_1_true_false_answer_question_3,3489,5
fluent_tracking_1_true_false_answer_question_4,7399,5
fluent_tracking_1_free_answer_question_5,2695,67
fluent_tracking_1_free_answer_question_6,2718,705
fluent_tracking_5_true_false_answer_question_1,2847,5
fluent_tracking_5_true_false_answer_question_2,2845,5
fluent_tracking_5_true_false_answer_question_3,3623,5
fluent_tracking_5_true_false_answer_question_4,7638,5
fluent_tracking_5_free_answer_question_5,2884,67
fluent_tracking_5_free_answer_question_6,2907,264
fluent_tracking_10_true_false_answer_question_1,3093,5
fluent_tracking_10_true_false_answer_question_2,3095,5
fluent_tracking_10_true_false_answer_question_3,3815,5
fluent_tracking_10_true_false_answer_question_4,7934,5
fluent_tracking_10_free_answer_question_5,3130,43
fluent_tracking_10_free_answer_question_6,3159,533
fluent_tracking_15_true_false_answer_question_1,3370,5
fluent_tracking_15_true_false_answer_question_2,3375,5
fluent_tracking_15_true_false_answer_question_3,4024,5
fluent_tracking_15_true_false_answer_question_4,8272,5
fluent_tracking_15_free_answer_question_5,3414,56
fluent_tracking_15_free_answer_question_6,3432,431
fluent_tracking_19_true_false_answer_question_1,3573,5
fluent_tracking_19_true_false_answer_question_2,3577,5
fluent_tracking_19_true_false_answer_question_3,4359,5
fluent_tracking_19_true_false_answer_question_4,8342,5
fluent_tracking_19_free_answer_question_5,3610,67
fluent_tracking_19_free_answer_question_6,3634,258
state_tracking_1_true_false_answer_question_1,3492,5
state_tracking_1_true_false_answer_question_2,7409,5
state_tracking_1_free_answer_question_3,2675,772
state_tracking_1_free_answer_question_4,2698,4728
