,question_len,total_question_len
object_tracking_1_true_false_answer_question_1,11448.0,
object_tracking_1_true_false_answer_question_2,14312.0,
object_tracking_5_true_false_answer_question_1,12929.0,
object_tracking_5_true_false_answer_question_2,15951.0,
object_tracking_10_true_false_answer_question_1,14820.0,
object_tracking_10_true_false_answer_question_2,18874.0,
object_tracking_15_true_false_answer_question_1,16710.0,
object_tracking_15_true_false_answer_question_2,20026.0,
object_tracking_19_true_false_answer_question_1,18398.0,
object_tracking_19_true_false_answer_question_2,21440.0,
fluent_tracking_1_true_false_answer_question_1,11200.0,
fluent_tracking_1_true_false_answer_question_2,11286.0,
fluent_tracking_1_true_false_answer_question_3,19226.0,
fluent_tracking_1_true_false_answer_question_4,82806.0,
fluent_tracking_1_free_answer_question_5,12118.0,
fluent_tracking_1_free_answer_question_6,16767.0,
fluent_tracking_5_true_false_answer_question_1,12824.0,
fluent_tracking_5_true_false_answer_question_2,12818.0,
fluent_tracking_5_true_false_answer_question_3,20938.0,
fluent_tracking_5_true_false_answer_question_4,84558.0,
fluent_tracking_5_free_answer_question_5,13650.0,
fluent_tracking_5_free_answer_question_6,18986.0,
fluent_tracking_10_true_false_answer_question_1,14742.0,
fluent_tracking_10_true_false_answer_question_2,14734.0,
fluent_tracking_10_true_false_answer_question_3,22571.0,
fluent_tracking_10_true_false_answer_question_4,86482.0,
fluent_tracking_10_free_answer_question_5,15678.0,
fluent_tracking_10_free_answer_question_6,20719.0,
fluent_tracking_15_true_false_answer_question_1,16586.0,
fluent_tracking_15_true_false_answer_question_2,16707.0,
fluent_tracking_15_true_false_answer_question_3,24758.0,
fluent_tracking_15_true_false_answer_question_4,88284.0,
fluent_tracking_15_free_answer_question_5,17445.0,
fluent_tracking_15_free_answer_question_6,22433.0,
fluent_tracking_19_true_false_answer_question_1,18282.0,
fluent_tracking_19_true_false_answer_question_2,18306.0,
fluent_tracking_19_true_false_answer_question_3,25615.0,
fluent_tracking_19_true_false_answer_question_4,90806.0,
fluent_tracking_19_free_answer_question_5,18980.0,
fluent_tracking_19_free_answer_question_6,22808.0,
