,question_len,answer_len
object_tracking_1_true_false_answer_question_1,7487,5
object_tracking_1_true_false_answer_question_2,8913,5
object_tracking_5_true_false_answer_question_1,7424,5
object_tracking_5_true_false_answer_question_2,8414,5
object_tracking_10_true_false_answer_question_1,7588,5
object_tracking_10_true_false_answer_question_2,8809,5
object_tracking_15_true_false_answer_question_1,8078,5
object_tracking_15_true_false_answer_question_2,9463,5
object_tracking_19_true_false_answer_question_1,8256,5
object_tracking_19_true_false_answer_question_2,9212,4
fluent_tracking_1_true_false_answer_question_1,6997,5
fluent_tracking_1_true_false_answer_question_2,6998,5
fluent_tracking_1_true_false_answer_question_3,11864,5
fluent_tracking_1_true_false_answer_question_4,31960,5
fluent_tracking_1_free_answer_question_5,6996,499
fluent_tracking_1_free_answer_question_6,7019,2443
fluent_tracking_5_true_false_answer_question_1,7194,4
fluent_tracking_5_true_false_answer_question_2,7195,5
fluent_tracking_5_true_false_answer_question_3,11907,5
fluent_tracking_5_true_false_answer_question_4,32163,5
fluent_tracking_5_free_answer_question_5,7193,443
fluent_tracking_5_free_answer_question_6,7216,2304
fluent_tracking_10_true_false_answer_question_1,7455,5
fluent_tracking_10_true_false_answer_question_2,7456,4
fluent_tracking_10_true_false_answer_question_3,12363,5
fluent_tracking_10_true_false_answer_question_4,32375,5
fluent_tracking_10_free_answer_question_5,7454,553
fluent_tracking_10_free_answer_question_6,7477,2443
fluent_tracking_15_true_false_answer_question_1,7686,5
fluent_tracking_15_true_false_answer_question_2,7687,5
fluent_tracking_15_true_false_answer_question_3,12714,5
fluent_tracking_15_true_false_answer_question_4,32541,5
fluent_tracking_15_free_answer_question_5,7685,553
fluent_tracking_15_free_answer_question_6,7708,2311
fluent_tracking_19_true_false_answer_question_1,7896,4
fluent_tracking_19_true_false_answer_question_2,7897,5
fluent_tracking_19_true_false_answer_question_3,12733,5
fluent_tracking_19_true_false_answer_question_4,32804,5
fluent_tracking_19_free_answer_question_5,7895,471
fluent_tracking_19_free_answer_question_6,7918,2311
state_tracking_1_true_false_answer_question_1,11875,5
state_tracking_1_true_false_answer_question_2,31871,5
state_tracking_1_free_answer_question_3,6977,4775
state_tracking_1_free_answer_question_4,7000,24792
state_tracking_5_true_false_answer_question_1,11917,5
state_tracking_5_true_false_answer_question_2,32263,5
state_tracking_5_free_answer_question_3,7174,4737
state_tracking_5_free_answer_question_4,7197,24830
state_tracking_10_true_false_answer_question_1,12237,5
state_tracking_10_true_false_answer_question_2,32458,5
state_tracking_10_free_answer_question_3,7435,4723
state_tracking_10_free_answer_question_4,7458,24844
state_tracking_15_true_false_answer_question_1,12506,5
state_tracking_15_true_false_answer_question_2,32736,5
state_tracking_15_free_answer_question_3,7666,4752
state_tracking_15_free_answer_question_4,7689,24811
state_tracking_19_true_false_answer_question_1,12780,5
state_tracking_19_true_false_answer_question_2,32885,5
state_tracking_19_free_answer_question_3,7876,4747
state_tracking_19_free_answer_question_4,7899,24820
action_executability_1_true_false_answer_question_1,6924,5
action_executability_1_true_false_answer_question_2,7015,5
action_executability_1_free_answer_question_3,6966,178
action_executability_1_free_answer_question_4,6968,64444
action_executability_1_free_answer_question_5,6980,52
action_executability_5_true_false_answer_question_1,7137,5
action_executability_5_true_false_answer_question_2,7212,5
action_executability_5_free_answer_question_3,7163,255
action_executability_5_free_answer_question_4,7165,64367
action_executability_5_free_answer_question_5,7177,52
action_executability_10_true_false_answer_question_1,7388,5
action_executability_10_true_false_answer_question_2,7481,5
action_executability_10_free_answer_question_3,7424,252
action_executability_10_free_answer_question_4,7426,64370
action_executability_10_free_answer_question_5,7438,52
action_executability_15_true_false_answer_question_1,7619,5
action_executability_15_true_false_answer_question_2,7694,4
action_executability_15_free_answer_question_3,7655,160
action_executability_15_free_answer_question_4,7657,64462
action_executability_15_free_answer_question_5,7666,52
action_executability_19_true_false_answer_question_1,7826,5
action_executability_19_true_false_answer_question_2,7915,5
action_executability_19_free_answer_question_3,7865,89
action_executability_19_free_answer_question_4,7867,64533
action_executability_19_free_answer_question_5,7879,55
effects_1_true_false_answer_question_1,7044,5
effects_1_true_false_answer_question_2,7080,5
effects_1_free_answer_question_3,7034,4744
effects_1_free_answer_question_4,7057,24823
effects_5_true_false_answer_question_1,7257,5
effects_5_true_false_answer_question_2,7258,5
effects_5_free_answer_question_3,7247,4730
effects_5_free_answer_question_4,7270,24837
effects_10_true_false_answer_question_1,7515,5
effects_10_true_false_answer_question_2,7516,5
effects_10_free_answer_question_3,7505,4723
effects_10_free_answer_question_4,7528,24844
effects_15_true_false_answer_question_1,7746,5
effects_15_true_false_answer_question_2,7747,5
effects_15_free_answer_question_3,7736,4752
effects_15_free_answer_question_4,7759,24811
effects_19_true_false_answer_question_1,7902,5
effects_19_true_false_answer_question_2,7943,5
effects_19_free_answer_question_3,7932,4743
effects_19_free_answer_question_4,7955,24820
numerical_reasoning_1_true_false_answer_question_1,6959,5
numerical_reasoning_1_true_false_answer_question_4,6969,5
numerical_reasoning_1_true_false_answer_question_5,6974,5
numerical_reasoning_1_true_false_answer_question_6,6996,5
numerical_reasoning_1_free_answer_question_7,6994,2
numerical_reasoning_1_free_answer_question_8,7016,2
numerical_reasoning_1_free_answer_question_9,7039,3
numerical_reasoning_1_free_answer_question_10,7019,1
numerical_reasoning_1_free_answer_question_11,7021,4
numerical_reasoning_1_free_answer_question_13,7088,1
numerical_reasoning_5_true_false_answer_question_1,7156,5
numerical_reasoning_5_true_false_answer_question_4,7166,5
