,question_len,total_question_len
object_tracking_1_true_false_answer_question_1,6059.0,
object_tracking_1_true_false_answer_question_2,7044.0,
object_tracking_5_true_false_answer_question_1,7901.0,
object_tracking_5_true_false_answer_question_2,9678.0,
object_tracking_10_true_false_answer_question_1,10247.0,
object_tracking_10_true_false_answer_question_2,12370.0,
object_tracking_15_true_false_answer_question_1,12604.0,
object_tracking_15_true_false_answer_question_2,14620.0,
object_tracking_19_true_false_answer_question_1,14370.0,
object_tracking_19_true_false_answer_question_2,15923.0,
fluent_tracking_1_true_false_answer_question_1,5954.0,
fluent_tracking_1_true_false_answer_question_2,6013.0,
fluent_tracking_1_true_false_answer_question_3,8759.0,
fluent_tracking_1_true_false_answer_question_4,25250.0,
fluent_tracking_1_free_answer_question_5,6445.0,
fluent_tracking_1_free_answer_question_6,10224.0,
fluent_tracking_5_true_false_answer_question_1,7898.0,
fluent_tracking_5_true_false_answer_question_2,7883.0,
fluent_tracking_5_true_false_answer_question_3,10381.0,
fluent_tracking_5_true_false_answer_question_4,27595.0,
fluent_tracking_5_free_answer_question_5,8487.0,
fluent_tracking_5_free_answer_question_6,12146.0,
fluent_tracking_10_true_false_answer_question_1,10197.0,
fluent_tracking_10_true_false_answer_question_2,10246.0,
fluent_tracking_10_true_false_answer_question_3,12831.0,
fluent_tracking_10_true_false_answer_question_4,29812.0,
fluent_tracking_10_free_answer_question_5,10745.0,
fluent_tracking_10_free_answer_question_6,14093.0,
fluent_tracking_15_true_false_answer_question_1,12564.0,
fluent_tracking_15_true_false_answer_question_2,12512.0,
fluent_tracking_15_true_false_answer_question_3,15160.0,
fluent_tracking_15_true_false_answer_question_4,32405.0,
fluent_tracking_15_free_answer_question_5,13138.0,
fluent_tracking_15_free_answer_question_6,16404.0,
fluent_tracking_19_true_false_answer_question_1,14379.0,
fluent_tracking_19_true_false_answer_question_2,14412.0,
fluent_tracking_19_true_false_answer_question_3,17145.0,
fluent_tracking_19_true_false_answer_question_4,33997.0,
fluent_tracking_19_free_answer_question_5,15195.0,
fluent_tracking_19_free_answer_question_6,17216.0,
state_tracking_1_true_false_answer_question_1,8795.0,
state_tracking_1_true_false_answer_question_2,25690.0,
state_tracking_1_free_answer_question_3,8355.0,
state_tracking_1_free_answer_question_4,24658.0,
state_tracking_5_true_false_answer_question_1,10756.0,
state_tracking_5_true_false_answer_question_2,27544.0,
state_tracking_5_free_answer_question_3,10213.0,
state_tracking_5_free_answer_question_4,26660.0,
state_tracking_10_true_false_answer_question_1,12881.0,
state_tracking_10_true_false_answer_question_2,30025.0,
state_tracking_10_free_answer_question_3,12549.0,
state_tracking_10_free_answer_question_4,29032.0,
state_tracking_15_true_false_answer_question_1,15301.0,
state_tracking_15_true_false_answer_question_2,32390.0,
state_tracking_15_free_answer_question_3,14847.0,
state_tracking_15_free_answer_question_4,31420.0,
state_tracking_19_true_false_answer_question_1,17231.0,
state_tracking_19_true_false_answer_question_2,34178.0,
state_tracking_19_free_answer_question_3,16757.0,
state_tracking_19_free_answer_question_4,33240.0,
action_executability_1_true_false_answer_question_1,5597.0,
action_executability_1_true_false_answer_question_2,6428.0,
action_executability_1_free_answer_question_3,10568.0,
action_executability_1_free_answer_question_4,120132.0,
action_executability_1_free_answer_question_5,6415.0,
action_executability_5_true_false_answer_question_1,7534.0,
action_executability_5_true_false_answer_question_2,8336.0,
action_executability_5_free_answer_question_3,11095.0,
action_executability_5_free_answer_question_4,123433.0,
action_executability_5_free_answer_question_5,8392.0,
action_executability_10_true_false_answer_question_1,9882.0,
action_executability_10_true_false_answer_question_2,10646.0,
action_executability_10_free_answer_question_3,13443.0,
action_executability_10_free_answer_question_4,125785.0,
action_executability_10_free_answer_question_5,10548.0,
action_executability_15_true_false_answer_question_1,12198.0,
action_executability_15_true_false_answer_question_2,13002.0,
action_executability_15_free_answer_question_3,15293.0,
action_executability_15_free_answer_question_4,128601.0,
action_executability_15_free_answer_question_5,12880.0,
action_executability_19_true_false_answer_question_1,14110.0,
action_executability_19_true_false_answer_question_2,14898.0,
action_executability_19_free_answer_question_3,17809.0,
action_executability_19_free_answer_question_4,129835.0,
action_executability_19_free_answer_question_5,14865.0,
effects_1_true_false_answer_question_1,6534.0,
effects_1_true_false_answer_question_2,6839.0,
effects_1_free_answer_question_3,9001.0,
effects_1_free_answer_question_4,25448.0,
effects_5_true_false_answer_question_1,8562.0,
effects_5_true_false_answer_question_2,8647.0,
effects_5_free_answer_question_3,10871.0,
effects_5_free_answer_question_4,27372.0,
effects_10_true_false_answer_question_1,10872.0,
effects_10_true_false_answer_question_2,10849.0,
effects_10_free_answer_question_3,13222.0,
effects_10_free_answer_question_4,29669.0,
effects_15_true_false_answer_question_1,13305.0,
effects_15_true_false_answer_question_2,13237.0,
effects_15_free_answer_question_3,15570.0,
effects_15_free_answer_question_4,32017.0,
effects_19_true_false_answer_question_1,15161.0,
effects_19_true_false_answer_question_2,15115.0,
effects_19_free_answer_question_3,17467.0,
effects_19_free_answer_question_4,33860.0,
numerical_reasoning_1_true_false_answer_question_1,5932.0,
numerical_reasoning_1_true_false_answer_question_4,6038.0,
numerical_reasoning_1_true_false_answer_question_5,6071.0,
numerical_reasoning_1_true_false_answer_question_6,6303.0,
numerical_reasoning_1_free_answer_question_7,6260.0,
numerical_reasoning_1_free_answer_question_8,6479.0,
numerical_reasoning_1_free_answer_question_9,6710.0,
numerical_reasoning_1_free_answer_question_10,6507.0,
numerical_reasoning_1_free_answer_question_11,6538.0,
numerical_reasoning_1_free_answer_question_13,7309.0,
numerical_reasoning_5_true_false_answer_question_1,7847.0,
numerical_reasoning_5_true_false_answer_question_4,7947.0,
numerical_reasoning_5_true_false_answer_question_5,7986.0,
numerical_reasoning_5_true_false_answer_question_6,8218.0,
numerical_reasoning_5_free_answer_question_7,8174.0,
numerical_reasoning_5_free_answer_question_8,8391.0,
numerical_reasoning_5_free_answer_question_9,8624.0,
numerical_reasoning_5_free_answer_question_10,8418.0,
numerical_reasoning_5_free_answer_question_11,8452.0,
numerical_reasoning_5_free_answer_question_13,9076.0,
numerical_reasoning_10_true_false_answer_question_1,10194.0,
numerical_reasoning_10_true_false_answer_question_4,10301.0,
numerical_reasoning_10_true_false_answer_question_5,10337.0,
numerical_reasoning_10_true_false_answer_question_6,10575.0,
numerical_reasoning_10_free_answer_question_7,10524.0,
numerical_reasoning_10_free_answer_question_8,10742.0,
numerical_reasoning_10_free_answer_question_9,10974.0,
numerical_reasoning_10_free_answer_question_10,10768.0,
numerical_reasoning_10_free_answer_question_11,10802.0,
numerical_reasoning_10_free_answer_question_13,11442.0,
numerical_reasoning_15_true_false_answer_question_1,12529.0,
numerical_reasoning_15_true_false_answer_question_4,12632.0,
numerical_reasoning_15_true_false_answer_question_5,12669.0,
numerical_reasoning_15_true_false_answer_question_6,12908.0,
numerical_reasoning_15_free_answer_question_7,12857.0,
numerical_reasoning_15_free_answer_question_8,13073.0,
numerical_reasoning_15_free_answer_question_9,13307.0,
numerical_reasoning_15_free_answer_question_10,13101.0,
numerical_reasoning_15_free_answer_question_11,13135.0,
numerical_reasoning_15_free_answer_question_13,13778.0,
numerical_reasoning_19_true_false_answer_question_1,14405.0,
numerical_reasoning_19_true_false_answer_question_4,14506.0,
numerical_reasoning_19_true_false_answer_question_5,14543.0,
numerical_reasoning_19_true_false_answer_question_6,14783.0,
numerical_reasoning_19_free_answer_question_7,14732.0,
numerical_reasoning_19_free_answer_question_8,14949.0,
numerical_reasoning_19_free_answer_question_9,15182.0,
numerical_reasoning_19_free_answer_question_10,14976.0,
numerical_reasoning_19_free_answer_question_11,15010.0,
numerical_reasoning_19_free_answer_question_13,15693.0,
hallucination_1_true_false_answer_question_1,6351.0,
hallucination_1_true_false_answer_question_2,6504.0,
hallucination_1_true_false_answer_question_3,6592.0,
hallucination_1_true_false_answer_question_4,7024.0,
hallucination_1_true_false_answer_question_5,7065.0,
hallucination_1_free_answer_question_6,7314.0,
hallucination_1_free_answer_question_7,8165.0,
hallucination_1_free_answer_question_8,17124.0,
hallucination_5_true_false_answer_question_1,8271.0,
hallucination_5_true_false_answer_question_2,8422.0,
hallucination_5_true_false_answer_question_3,8458.0,
hallucination_5_true_false_answer_question_4,8891.0,
hallucination_5_true_false_answer_question_5,8974.0,
hallucination_5_free_answer_question_6,9321.0,
hallucination_5_free_answer_question_7,10252.0,
hallucination_5_free_answer_question_8,16607.0,
hallucination_10_true_false_answer_question_1,10613.0,
hallucination_10_true_false_answer_question_2,10755.0,
hallucination_10_true_false_answer_question_3,10853.0,
hallucination_10_true_false_answer_question_4,11260.0,
hallucination_10_true_false_answer_question_5,11298.0,
hallucination_10_free_answer_question_6,11474.0,
hallucination_10_free_answer_question_7,12645.0,
hallucination_10_free_answer_question_8,26305.0,
hallucination_15_true_false_answer_question_1,12943.0,
hallucination_15_true_false_answer_question_2,13114.0,
hallucination_15_true_false_answer_question_3,13162.0,
hallucination_15_true_false_answer_question_4,13563.0,
hallucination_15_true_false_answer_question_5,13654.0,
hallucination_15_free_answer_question_6,14004.0,
hallucination_15_free_answer_question_7,15096.0,
hallucination_15_free_answer_question_8,27474.0,
hallucination_19_true_false_answer_question_1,14823.0,
hallucination_19_true_false_answer_question_2,14976.0,
hallucination_19_true_false_answer_question_3,15091.0,
hallucination_19_true_false_answer_question_4,15389.0,
hallucination_19_true_false_answer_question_5,15535.0,
hallucination_19_free_answer_question_6,15722.0,
hallucination_19_free_answer_question_7,16873.0,
hallucination_19_free_answer_question_8,24580.0,
total,,3187411.0
